 X17, X18, X19, X20, X21, X22, X23, X24, X25, X26
66,74,86,98,110,130,141,152,163,170
66,75,86,98,109,130,141,152,162,169
66,74,86,98,110,130,141,152,162,169
66,75,86,98,109,129,140,151,162,169
66,74,86,98,110,129,140,151,162,169
66,74,86,98,109,129,140,151,162,169
66,74,86,97,109,129,140,151,162,169
67,74,86,98,109,129,140,151,161,168
66,73,84,96,107,129,140,151,162,168
66,73,84,96,107,131,142,152,162,168
68,75,86,97,107,131,140,150,160,167
69,76,86,97,107,130,139,150,160,166
69,76,87,98,108,128,138,149,159,165
69,77,88,99,108,129,139,150,160,166
70,77,87,98,107,130,139,150,160,166
69,77,88,99,109,129,139,150,160,166
70,78,88,99,108,130,139,150,160,166
70,77,88,99,108,130,139,150,160,166
70,77,88,99,108,129,139,150,160,166
70,78,88,99,108,130,140,150,160,166
70,77,88,99,109,128,138,150,160,166
69,77,87,98,108,130,140,151,160,167
70,77,88,99,109,129,139,150,159,166
69,77,87,98,108,130,139,150,160,166
69,76,87,98,108,129,139,149,159,166
69,76,87,99,109,128,138,149,159,166
69,77,87,99,108,129,139,150,160,166
67,74,85,96,106,131,141,152,161,167
66,73,84,95,106,131,141,152,162,167
66,74,85,97,108,130,141,152,162,169
66,74,86,98,109,129,140,151,162,168
66,74,86,97,108,129,140,151,162,169
66,74,85,97,108,129,140,150,161,168
66,74,85,97,108,129,139,150,161,168
66,74,85,97,108,129,140,150,161,168
67,75,86,97,108,129,139,150,160,167
66,74,85,97,108,129,139,150,161,168
66,74,86,97,109,129,139,150,161,168
66,73,85,97,108,128,139,150,161,168
65,73,85,97,108,128,139,150,161,168
66,73,85,96,108,129,140,150,161,168
66,74,85,97,108,129,139,150,161,168
66,74,85,97,108,129,140,150,161,168
66,74,86,97,108,129,139,150,161,168
66,74,85,97,108,129,139,150,161,168
67,74,86,97,108,128,139,150,160,168
66,74,86,97,108,129,140,150,161,168
66,74,86,97,108,129,139,150,161,167
66,74,86,97,108,129,139,150,160,167
66,73,85,97,108,130,140,151,162,168
65,72,84,95,107,131,141,152,162,168
66,73,84,96,106,132,142,152,162,167
68,76,86,97,107,131,141,151,161,166
69,76,87,98,107,130,140,150,160,166
69,76,87,98,107,129,139,150,159,165
69,76,87,98,107,129,139,150,160,165
69,76,86,97,107,130,139,150,160,166
69,76,87,97,107,129,139,149,159,165
69,77,87,98,107,129,139,149,159,165
69,76,87,98,108,128,138,149,159,165
