 Y17, Y18, Y19, Y20, Y21, Y22, Y23, Y24, Y25, Y26
86,78,75,78,82,82,78,76,79,87
85,77,75,78,82,82,78,76,78,86
86,77,76,78,83,82,78,76,79,87
85,77,76,78,82,82,78,76,78,86
86,78,76,78,82,82,78,76,79,86
85,77,76,78,82,82,78,76,78,86
85,77,75,78,82,82,78,76,78,86
84,76,74,76,81,80,76,75,77,85
84,75,71,72,76,76,72,72,75,85
83,74,70,70,74,75,71,70,74,83
83,75,73,74,80,80,75,74,77,84
85,77,74,75,80,80,76,75,78,86
86,78,75,75,81,81,77,76,81,89
85,77,74,75,81,81,76,76,80,88
84,77,74,75,80,80,76,75,78,86
85,77,75,76,81,81,76,75,78,86
83,77,74,76,81,80,76,75,77,85
84,76,74,75,80,81,76,75,78,86
85,78,75,76,81,81,76,75,79,87
84,77,74,75,80,80,75,75,78,86
87,79,75,76,81,82,77,77,80,89
84,77,74,75,80,80,76,75,78,86
84,76,74,75,81,81,76,75,78,85
84,76,74,75,80,80,75,75,78,85
84,76,74,75,80,80,76,74,77,85
86,78,75,75,81,81,76,76,79,87
84,76,74,75,80,80,75,74,77,85
82,73,70,72,77,77,73,72,75,84
83,74,70,71,76,75,72,71,75,84
84,75,72,74,79,78,74,72,76,84
84,76,74,76,80,80,76,74,76,85
84,76,74,76,81,80,76,74,77,85
84,76,74,76,81,80,76,75,77,85
84,76,74,76,81,81,77,75,77,85
84,76,75,77,81,81,77,75,77,85
84,76,75,77,81,81,77,75,77,84
85,77,75,77,81,81,77,75,78,86
84,76,75,77,82,81,77,75,78,85
85,77,75,77,81,81,77,75,78,86
84,76,75,77,82,81,77,75,78,85
85,77,75,77,81,81,77,75,78,85
84,77,75,77,82,82,77,76,78,86
84,77,75,77,81,81,77,76,78,86
84,77,75,77,81,81,77,75,78,85
85,77,75,77,82,81,77,76,78,86
85,77,75,77,82,82,77,76,78,86
84,77,75,77,82,81,77,75,78,85
85,77,75,77,82,82,77,76,78,86
84,76,75,77,81,81,77,75,78,85
84,75,72,74,79,78,74,72,76,85
83,74,70,71,75,75,71,71,75,84
82,73,68,69,74,74,71,71,75,84
82,74,71,72,77,78,74,73,77,85
82,75,72,74,79,79,75,74,77,85
85,77,74,75,80,80,76,76,80,88
85,77,74,75,80,80,75,75,79,88
86,78,74,75,80,80,76,75,80,88
84,77,74,75,80,80,76,75,78,86
83,76,74,75,80,80,76,75,78,86
85,77,74,75,80,81,76,75,79,87
85,77,74,75,80,80,76,75,78,86
84,77,74,75,80,80,76,74,77,85
85,77,74,75,80,80,76,74,78,86
85,77,74,75,80,80,75,74,78,86
84,76,73,74,80,80,75,74,78,85
85,77,74,75,80,80,75,74,78,86
83,75,72,74,79,80,75,74,77,84
