EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.273533,0,0.631933,1.00682,0,0,0.135696,0,0,0.479661,0,0.120752,0.804886,0.805134,0,0,5.38176e-05,0.157887,0.471678,0.262653,0.262653,0,0.330401,0.213399,0,0,0,0,0,0.000126098,0,0,0,0,0,0,0.453286,0,0,0.0269777,0,0.454424,0,0,0,0,0.290945,0,0.0269478,0.00497066,
0.292443,0,0.635213,1.006,0,0,0.160604,0,0,0.465105,0,0.145677,0.803659,0.803954,0,0,0.000300385,0.159477,0.456137,0.268426,0.268426,0,0.310745,0.215907,0,0,0,0,0,0.00317808,0,0,0,0,0,0.00190607,0.458957,0,0.000589868,0.0319575,0,0.46646,0,0,0,0,0.30687,0.00154735,0.0124491,0.00363148,
0.299286,0,0.638873,1.00592,0,0,0.162678,0,0,0.443214,0,0.147753,0.803633,0.803932,0,0,1.35419e-05,0.153572,0.440634,0.270171,0.270171,0,0.298453,0.226129,0,0,0,0,0,0.0107048,0,0,0,0,0,0.00034424,0.461357,0,0.00157655,0.0182157,0,0.471395,0,0,0,0,0.321422,0.000585541,0.0141583,0.00896677,
0.312371,0,0.643004,1.0058,0,0,0.163975,0,0,0.423811,0,0.149051,0.803943,0.804244,0,0,0,0.151603,0.430937,0.273504,0.273504,0,0.290428,0.237881,0,0,0,0,0,0.0221863,0,0,0,0,0,0.000172735,0.462198,0,0.000589868,0.00765297,0,0.475325,0,0,0,0,0.332252,4.83035e-05,0.0194453,0.00951368,
0.328365,0.000946372,0.642214,1.00568,0,0,0.164649,0,0,0.402697,0,0.149725,0.804613,0.804916,0,0,0,0.144873,0.427811,0.276843,0.276843,0,0.289149,0.247531,0,0,0,0,0,0.0362851,0,0,0,0,0,6.04412e-05,0.457002,0,0.000103784,0.00545778,0,0.47619,0,0,0,0,0.339853,6.72565e-06,0.0243831,0.00920637,
0.377774,0.0197175,0.640321,1.00569,0,0,0.164751,0,0,0.374176,0,0.149827,0.80549,0.805794,0,0,0,0.148518,0.431006,0.279183,0.279183,0,0.288798,0.25408,0,0,0,0,0,0.0478252,0,0,0,0,0,4.06489e-06,0.448342,0,0.00139087,0.00908096,0,0.476945,0,4.39021e-06,0,0,0.346497,3.52439e-07,0.024942,0.0102522,
0.52962,0.106253,0.636196,1.0049,0,0,0.163486,0,0,0.0104963,0,0.148561,0.805647,0.805949,0,0,0,0.15033,0.432104,0.282686,0.282686,0,0.287798,0.259045,0,0,0,0,0,0.0579022,0,0,0,0,0,5.59562e-05,0.436652,0,0.00372003,0.013983,0,0.482338,0,8.37791e-05,0,0,0.363961,0,0.0278002,0.011191,
0.726022,0.272938,0.626149,1.00332,0,0,0.161753,0,0,0.00042821,0,0.146827,0.805583,0.805881,0,0,0,0.153875,0.423685,0.285198,0.285198,0,0.293187,0.261853,0,0,0,0,0,0.0642391,0,0,0,0,0,0.000786743,0.422634,0,0.00139087,0.018118,0,0.488492,0,0.000223883,0,0,0.37636,0,0.0360864,0.00656501,
0.890836,0.41363,0.614231,1.00294,0,0,0.159721,0,0,0,0,0.144793,0.805616,0.80591,0,0,0,0.152275,0.416425,0.286545,0.286545,0,0.303509,0.265317,0,0,0,0,0,0.0655009,0,0,0,0,0,0.00199767,0.407056,0,7.28742e-05,0.0218952,0,0.491192,0,8.37791e-05,0,0,0.377842,0,0.0516374,0.0015237,
0.917499,0.463324,0.606661,1.00293,0,0,0.157195,0,0,0,0,0.142265,0.805719,0.806008,0,0,0,0.156488,0.416565,0.285813,0.285813,0,0.310811,0.270821,0,0,0,0,0,0.062653,0,0,0,0,0,0.000741858,0.393181,0,0,0.0223358,0,0.487773,0,4.39021e-06,0,0,0.367771,0,0.0655861,0.000193701,
0.918917,0.483525,0.607748,1.00322,0,0,0.154098,0,0,0,0,0.139165,0.806891,0.807175,0,0,0,0.158076,0.423717,0.27852,0.27852,0,0.312388,0.272903,0,0,0,0,0,0.0506013,0,0,0,0,0,3.88264e-05,0.381783,0,0,0.018683,0,0.476594,0,0,0,0,0.346515,0,0.0748609,4.65111e-05,
0.919219,0.484848,0.615757,1.00325,0,0,0.151533,0,0,0,0,0.136598,0.808678,0.808957,0,0,0,0.158515,0.418294,0.26966,0.26966,0,0.307854,0.272394,0,0,0,0,0,0.0363424,0,0,0,0,0,0,0.375742,0,0,0.0136583,0,0.465668,0,0,0,0,0.318931,0,0.0831639,2.43729e-06,
0.91926,0.485657,0.627306,1.00325,0,0,0.149975,0,0,0,0,0.13504,0.810355,0.810632,0,0,4.61008e-05,0.163916,0.41157,0.26473,0.26473,0,0.304025,0.271898,0,0,0,0,0,0.0269258,0,0,0,0,0,0,0.37094,0,0,0.0105125,0,0.460023,0,0,0,0,0.29473,0,0.0894703,0,
0.920981,0.492846,0.640016,1.00321,0,0,0.150419,0,0,0,0,0.135484,0.811613,0.811892,0,0,0.000879798,0.170195,0.410529,0.262057,0.262057,0,0.301592,0.271333,0,0,0,0,0,0.02217,0,0,0,0,0,2.28253e-05,0.366177,0,0,0.013177,0,0.457618,0,0,0,0,0.28033,0,0.0961185,3.16935e-05,
0.926255,0.507188,0.65108,1.00321,0,0,0.152024,0,0,0,0,0.137089,0.812392,0.812673,0,0,0.00235189,0.169963,0.416941,0.259183,0.259183,0,0.29746,0.269436,0,0,0,0,0,0.0225711,0,0,0,0,0,0.00044537,0.358464,0,0,0.016629,0,0.456836,0,0,0,0,0.27052,0,0.100825,0.000604828,
0.939405,0.525229,0.656571,1.00359,0,0,0.153742,0,0,0,0,0.138808,0.813004,0.813289,0,0,0.000879798,0.175684,0.415142,0.25968,0.25968,0,0.295435,0.266015,0,0,0,0,0,0.0238937,0,0,0,0,0,0.00139349,0.346819,0,0,0.0186969,0,0.459875,0,8.99732e-05,0,0,0.25828,0,0.0978912,0.00161654,
0.963906,0.550853,0.634493,1.00326,0,0,0.155107,0,0,0,0,0.140175,0.813715,0.814003,0,0,4.61008e-05,0.178039,0.41332,0.263895,0.263895,0,0.300389,0.26307,0,0,0,0,0,0.0257412,0,1.15971e-05,0,0,0,0.00179817,0.334069,0,0,0.0260078,0,0.462479,0,0.0017453,0,0,0.247365,0,0.0889703,0.000604828,
0.991061,0.581476,0.527791,1.00258,0,0,0.15566,0,0,0,0,0.140727,0.814626,0.814915,0,0,0,0.175386,0.41273,0.267648,0.267648,0,0.30962,0.259133,0,0,0,0,0,0.0230256,0,0.00022131,0,0,0,0.00333405,0.321527,0,5.05974e-05,0.0351463,0,0.465075,0,0.00512811,0,0,0.234964,0,0.0777777,3.16935e-05,
0.984255,0.581135,0.427924,1.00208,0,0,0.155572,0,0,0,0,0.140639,0.815593,0.815883,0.000401503,0,0,0.158591,0.415814,0.273432,0.273432,0,0.315907,0.257956,0,0,0,0,0,0.0195398,0,0.000591416,0,0,0,0.0033615,0.311115,0,0.000965622,0.0457083,0,0.468291,0,0.00314377,0,0,0.224571,0,0.0642526,0,
0.91621,0.476545,0.422251,1.00197,0,0,0.151666,0,0,0,0,0.13673,0.818008,0.818291,0.00836468,0,0,0.131089,0.42723,0.284129,0.284129,0,0.320459,0.262378,0,0,0,0,0,0.0193779,0,0.00022131,0,0,0,0.000992008,0.304174,0,0.0025815,0.0566222,0,0.471306,0,0.00062335,0,0,0.22838,0,0.0502199,0,
0.813535,0.323956,0.41712,1.00351,0,0,0.140823,0,0,0.000783167,0,0.12588,0.823374,0.823637,0.0353681,0,0,0.0251125,0.438622,0.301626,0.301626,0,0.329125,0.275451,0,0,0,0,0,0.0202975,0,1.15971e-05,0,0,0,4.97457e-05,0.307862,0,0.000965622,0.0640352,0,0.47656,0,2.79491e-05,0,0,0.271449,0,0.0453752,0,
0.714507,0.104337,0.361756,1.00506,0,0,0.135734,0,0,0.0157638,0,0.120787,0.825658,0.825912,0.0617622,0,0,0.00116541,0.454154,0.319571,0.319571,0,0.339793,0.294246,0,0,0,0,0,0.0243833,0,0,0,0,0,0,0.317586,0,5.05974e-05,0.0672699,0,0.480555,0,0,0,0,0.328966,0,0.0484227,0,
0.608255,0.0194374,0.285894,1.00568,0,0,0.133906,0,0,0.0765491,0,0.118959,0.825612,0.825862,0.0759277,0,0,0.000751568,0.465145,0.330672,0.330672,0,0.353736,0.315855,0,0,0,0,0,0.028003,0,0,0,0,0,9.67349e-06,0.33361,0,0,0.0677703,0,0.477414,0,0,0,0,0.381485,0,0.0575081,0,
0.490801,0.000943773,0.245462,1.00619,0,0,0.134051,0,0,0.394061,0,0.119104,0.825608,0.825859,0.0629724,0,0.000227533,0.0157121,0.480696,0.328591,0.328591,0,0.367111,0.337523,0,0,0,0,0,0.0248341,0,0,0,0,0,0.000184601,0.352438,0,0,0.0668991,0,0.469302,0,0,0,0,0.429989,0,0.0644843,8.60418e-05,
