EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.225063,0,0.540288,1.00505,0,0,0.500451,0,0,0.214859,0,0.485892,0.547828,0.548483,0,0,0,0.304258,0.444474,0.223072,0.223072,0,0.0664158,0.331149,0,0.00231507,0,0,0,0.0286745,0,0.00499039,0,0,0,0.000102227,0.00908816,0,0,0.0488815,0,0.302987,0,0.00515741,0.0105951,0.000594595,0.286075,0.0310778,0.166405,0.382056,
0.236444,0,0.516481,1.00481,0,0,0.50057,0,0,0.196681,0,0.486011,0.543701,0.544351,0,0,0,0.295313,0.446417,0.227069,0.227069,0,0.0889449,0.31757,0,0.00613313,0,0,0,0.0296759,0,0.0306969,0,0,0,0.00217997,0.0206444,0,0,0.0818329,0,0.239622,0,0.0352432,0.0404345,0.00157174,0.296528,0.00947641,0.160819,0.361426,
0.244896,0,0.501174,1.00471,0,0,0.499262,0,0,0.184861,0,0.4847,0.541425,0.542071,0,0,0,0.290569,0.443038,0.23895,0.23895,0,0.10356,0.299222,0,0.00228967,0,0,0,0.0236991,0,0.0948104,0,0,0,0.0104056,0.0285498,0,0,0.108156,0,0.22403,0,0.126333,0.0562191,0.000588073,0.310741,0.00631411,0.140263,0.329175,
0.247471,0,0.498801,1.00468,0,0,0.496742,0,0,0.180037,0,0.482173,0.54033,0.540971,0,0,0,0.28997,0.444972,0.251555,0.251555,0,0.114905,0.279107,0,0.000119938,0,0,0,0.0247643,0,0.170531,0,0,0,0.0236808,0.0302678,0,0,0.127404,0,0.242849,0,0.247694,0.0585483,3.08155e-05,0.312889,0.00257721,0.113795,0.292995,
0.245396,0,0.506772,1.00503,0,0,0.493715,0,0,0.168384,0,0.479139,0.539292,0.539928,0,0,0,0.291158,0.446228,0.266089,0.266089,0,0.130175,0.263036,0,0,0,0,0,0.0357814,0,0.2204,0,0,0,0.0356629,0.0311754,0,0,0.142608,0,0.272062,0,0.355488,0.0553397,0,0.311293,0.000265918,0.0922115,0.256801,
0.241681,0,0.520471,1.00515,0,0,0.490917,0,0,0.147599,0,0.476334,0.538368,0.538999,0,0,2.68224e-05,0.298002,0.448915,0.276209,0.276209,0,0.142516,0.250004,0,0,0,0,0,0.049985,0,0.244561,0,0,0,0.037364,0.0324191,0,0,0.153337,0,0.301213,0,0.422556,0.0466683,0,0.31791,7.97826e-06,0.0737447,0.224782,
0.243696,0,0.535901,1.00498,0,0,0.488459,0,0,0.131615,0,0.47387,0.537663,0.53829,0,0,0.000511867,0.300334,0.447029,0.274375,0.274375,0,0.151171,0.23955,0,0,0,0,0,0.057248,0,0.273662,0,0,0,0.0409794,0.0391648,0,0,0.16597,2.88105e-05,0.3125,0,0.478241,0.0305303,0,0.328747,0,0.0617866,0.197267,
0.247876,0,0.548033,1.00488,0,0,0.486425,0,0,0.120339,0,0.471831,0.53699,0.537614,0,0,0.00136802,0.295258,0.435698,0.272279,0.272279,0,0.157953,0.235137,0,0,0,0,0,0.0609712,0,0.314893,0,0,0,0.0534864,0.0497187,0,0,0.180324,0.000549808,0.317313,0,0.532958,0.0152699,0,0.333409,0,0.0528983,0.17315,
0.247748,0,0.559184,1.00478,0,0,0.484453,0,0,0.106997,0,0.469854,0.536709,0.53733,0,0,0.000511867,0.28843,0.427764,0.28015,0.28015,0,0.158486,0.236098,0,0,0,0,0,0.0714358,0,0.350674,0,0,0,0.0648346,0.0588382,0,2.76606e-05,0.191105,0.00146944,0.330296,0,0.558994,0.00731929,0,0.343541,0.000130924,0.0438137,0.152305,
0.242212,0,0.570704,1.00478,0,0,0.481318,0,0,0.0930181,0,0.46671,0.536724,0.537341,0,0,2.68224e-05,0.291209,0.427428,0.282262,0.282262,0,0.155284,0.23774,0,0,0,0,0,0.0790649,0,0.386575,0,0,0,0.0752695,0.0637435,0,0.000548253,0.19677,0.000549808,0.343644,0,0.562706,0.00180105,0,0.35032,0.00262854,0.036265,0.138964,
