EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.216176,0,0.491279,1.00293,0,0,0.250526,0,0,0.0414239,0,0.235035,0.324447,0.324644,0,0,0.00541573,0.437353,0.533934,0.244466,0.244466,0,0.152794,0.154341,0,0.00451607,0.00168147,0,0,0,0,0,0,0,0.0014672,0,0.0537179,0,2.97997e-05,0.223701,0,0.354808,0,0,0,0,0.0134341,0.00653111,0.071256,0.386976,
0.218383,5.16398e-05,0.486096,1.00272,0,0,0.251555,0,0,0.0267397,0,0.236065,0.322387,0.322583,0,0,0.002801,0.425211,0.518311,0.257606,0.257606,0,0.147105,0.155195,0,0.00115144,0.000112049,0,0,0,0,0,0,0,0.000157244,0,0.0594416,0,0.000562448,0.224997,0,0.363748,0,0,0,0,0.0467542,0.0261605,0.0502262,0.366775,
0.222732,0.00109645,0.481355,1.00259,0,0,0.25223,0,0,0.0115573,0,0.23674,0.320378,0.320574,0,0,0.00234249,0.430053,0.509282,0.262668,0.262668,0,0.139787,0.164864,0,0.00445919,0.000475566,0,0,0,0,0,0,0,3.0998e-05,0,0.0646072,0,0.00150324,0.229882,0,0.36905,0,0,0,0,0.0516309,0.0437254,0.0452332,0.359836,
0.22678,0.00483113,0.477254,1.00245,0,0,0.252699,0,0,0.00235307,0,0.23721,0.318802,0.318997,0,0,0.00191933,0.433344,0.507989,0.263214,0.263214,0,0.13228,0.174,0,0.00936948,0.00127098,0,0,0,0,0,0,0,0.000134693,0,0.0720875,0,0.000562448,0.23681,0,0.368532,0,0,0,0,0.0537728,0.0565769,0.047834,0.355252,
0.229026,0.00812151,0.478988,1.00239,0,0,0.253164,0,0,0.000153927,0,0.237675,0.317562,0.317757,0,0,0.00299311,0.436556,0.513669,0.263381,0.263381,0,0.121249,0.179313,0,0.00968534,0.000475566,0,0,0,0,0,0,0,0.0027885,0,0.0800356,0,2.94728e-05,0.239786,0,0.372502,3.08687e-05,0,0,0,0.0482685,0.0634157,0.0503105,0.358165,
0.228322,0.00610088,0.488665,1.00233,0,0,0.254015,0,0,0.00113529,0,0.238528,0.316703,0.316898,0,0,0.0011241,0.437772,0.516251,0.264467,0.264467,0,0.1054,0.181082,0,0.00295091,2.49203e-05,0,0,0,0,0,0,0,0.0118089,0,0.087017,0,0,0.235312,0,0.380446,0.000654483,0,0,0,0.0457977,0.0599474,0.0486456,0.359096,
0.224513,0.00158008,0.500641,1.0023,0,0,0.255685,0,0,0.00778438,0,0.2402,0.316346,0.316543,0,0,0.000488353,0.437869,0.515818,0.265375,0.265375,0,0.0867735,0.179268,0,0.00111487,0,0,0,0,0,0,0,0,0.020113,0,0.0899635,0,2.26335e-05,0.229861,0,0.385773,0.0028229,0,0.000143678,0,0.0464449,0.0522518,0.0427798,0.356979,
0.221092,7.69735e-05,0.511343,1.00237,0,0,0.257727,0,0,0.023405,0,0.242244,0.316095,0.316293,0,0,0.00181361,0.444038,0.522169,0.265805,0.265805,0,0.0698882,0.175277,0,0.00441583,0,0,0,0,0,0,0,0,0.0216558,0,0.0871319,0,0.000431924,0.228368,0,0.389029,0.00392618,0,0.00274332,0,0.040207,0.0387468,0.0354107,0.362083,
0.217584,0,0.526722,1.00243,0,0,0.259582,0,0,0.0404253,0,0.244102,0.315088,0.315287,0,0,0.00375326,0.444526,0.536979,0.267803,0.267014,0,0.0610873,0.173428,0,0.00653793,0.000181686,0.000124518,0,0,0,0,0,0,0.0197439,0,0.0761987,0,0.00115432,0.2333,0,0.390355,0.00127886,0,0.0073559,0,0.0355722,0.0201113,0.0329147,0.373021,
0.207146,0,0.558931,1.00252,0,0,0.26115,0,0,0.0622681,0,0.245671,0.312174,0.312372,0,0,0.00960101,0.447247,0.548969,0.283631,0.265923,0,0.0583715,0.170235,0,0.0021668,0.00426832,0.00283116,0,0,0,0,0,0,0.0141351,0,0.0639381,0,0.000431924,0.230188,0,0.396598,6.53899e-05,0,0.00274332,0,0.0284013,0.00789047,0.0336088,0.38909,
0.182701,0,0.6071,1.00329,0,0,0.262921,0,0,0.109164,0,0.247445,0.30793,0.308126,0,0,0.0247578,0.472757,0.57311,0.339361,0.236732,0,0.0632302,0.173603,0,0.000111153,0.0266449,0.0159479,0,0,0,0,0,0,0.00447399,0,0.0533479,0,2.26335e-05,0.214,0,0.414721,0,0,0.000143678,0,0.0156255,0.00510703,0.0390037,0.410289,
0.16351,0,0.6429,1.00428,0,0,0.264277,0,0,0.197267,0,0.248802,0.301192,0.301386,0,0,0.0395189,0.505644,0.597229,0.441005,0.154275,0,0.076879,0.198817,0,0,0.0788236,0.0424305,0,0,0,0,0,0,0.000469069,0,0.047189,0,0,0.196836,0,0.477023,0,0,0,0,0.00962047,0.00553282,0.0469053,0.429716,
0.159013,0,0.644857,1.00474,0,0,0.26154,0,0,0.265372,0,0.246061,0.291827,0.292013,0,0,0.0410306,0.51783,0.60642,0.507518,0.115416,0,0.0916784,0.240111,0,0,0.132696,0.068696,0,0,0,0,0,0,1.50233e-05,0,0.0429332,0,0,0.18675,0,0.52442,0,0,0,0,0.00410341,0.00812378,0.0421822,0.44364,
0.16096,0,0.642223,1.00426,0,0,0.260656,0,0,0.251306,0,0.245175,0.281268,0.281446,0,0,0.0311044,0.509797,0.616576,0.536539,0.109114,0,0.0964912,0.280446,0,0,0.172681,0.0819319,0,0,0,0,0,0,0,0,0.031668,0,0,0.177033,0,0.556819,0,0,0,0,0.0069292,0.00283333,0.0265486,0.452852,
