EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.193498,0,1.00084,1.00473,0,0,1,0,0,0.500418,0,1,0.941469,0.962363,0,0,0.0130834,0.170159,0.279767,0.17401,0.17401,0,0.220939,0.201307,0,0,0.00598933,0.00101792,0,0,0,0.049982,0,0,0,0.404809,0.457723,0,0,0.0256856,0,0.305688,0,0.00221485,0,0,0.00644801,0,0.082424,0.0287642,
0.197297,0,1.00087,1.00462,0,0,1,0,0,0.490876,0,1,0.940548,0.961436,0,0,0.0111045,0.17434,0.278594,0.178066,0.178066,0,0.227455,0.191457,0,0,0.0060673,0.000376716,0,0,0,0.0480022,0,0,0,0.404654,0.461558,0,0,0.0214494,0,0.316919,0,0.00427638,0,0,0.00815651,0,0.0565164,0.0410171,
0.207815,0,1.00089,1.00465,0,0,1,0,0,0.473842,0,1,0.937619,0.958489,0,0,0.00631323,0.177615,0.272403,0.185821,0.185821,0,0.230674,0.188372,0,0,0.0019059,1.97406e-05,0,0,0,0.0485656,0,0,0,0.400735,0.464815,0,0,0.0258798,0,0.326864,0,0.00151605,0,0,0.00258028,0,0.0358781,0.0548385,
0.219439,0,1.00099,1.0049,0,0,1,0,0,0.455302,0,1,0.934305,0.955155,0,0,0.00608802,0.174628,0.264132,0.18883,0.18883,0,0.225983,0.190137,0,0,0.000152167,0,0,0,0,0.0418507,0,0,0,0.391806,0.465396,0,3.61805e-05,0.0316361,0,0.334512,0,7.87247e-05,0,0,0.000131178,0.000108223,0.0269972,0.0675969,
0.2249,0,1.00101,1.00502,0,0,1,0,0,0.442376,0,1,0.933321,0.954205,0,0,0.00687548,0.182427,0.270524,0.189014,0.189014,0,0.21858,0.190342,0,0,3.4553e-06,0,0,0,0,0.040085,0,0,0,0.384407,0.462818,0,0.000694435,0.0361148,0,0.338248,0,0,0,0,0,0.00206865,0.0211966,0.0781634,
0.23076,0,1.00094,1.0051,0,0,1,0,0,0.43651,0,1,0.934028,0.954957,0,0,0.00232969,0.184503,0.300259,0.186747,0.186747,0,0.2019,0.191489,0,0,1.51549e-05,0,0,0,0,0.0400423,0,0,0,0.374974,0.463616,0,0.00192129,0.03529,0,0.334557,0,0,0,0,6.17814e-05,0.0055841,0.0238671,0.0932463,
0.238485,0,1.00081,1.00519,0,0,1,0,0,0.438959,0,1,0.935138,0.956093,0,0,0.000444098,0.171503,0.278094,0.184029,0.184029,0,0.179312,0.198964,0,0,0.000289205,0,0,0,0,0.0386401,0,0,0,0.367997,0.467784,0,0.000893048,0.0303332,0,0.330578,0,0,0,4.61038e-05,0.00139408,0.0022077,0.0499309,0.105154,
0.238942,0,1.0007,1.00518,0,0,1,0,0,0.446658,0,1,0.936489,0.957472,0,0,0.000172761,0.169188,0.260585,0.185417,0.185417,0,0.162081,0.207756,0,0,0.000785355,4.80835e-05,0,0,0,0.0411964,0,0,0,0.36811,0.468736,0,0.00011198,0.0218786,0,0.334523,0,0,0,0.000879856,0.00778581,0.000161235,0.0766649,0.103793,
0.233401,0,1.00064,1.00492,0,0,1,0,0,0.455061,0,1,0.938249,0.959283,0,0,0.00113369,0.168604,0.265338,0.180176,0.180176,0,0.151043,0.212985,0,0,0.000527506,0.000917642,0,0,0,0.0474089,0,0,0,0.368921,0.463337,0,6.5246e-06,0.0112667,0,0.322012,0,0,3.60971e-05,0.00235205,0.0230206,2.7779e-06,0.0824478,0.102785,
0.230655,0,1.00063,1.00504,0,0,1,0,0,0.459333,0,1,0.939775,0.960884,0,0,0.0064924,0.168387,0.272719,0.175763,0.175763,0,0.144924,0.216144,0,0,0.000651975,0.00245313,0,0,0,0.0520418,0,0,0,0.369109,0.457523,0,4.87104e-05,0.00332917,0,0.319396,0,0,0.00068887,0.000879856,0.0480108,0,0.0902846,0.09409,
0.231443,0,1.00063,1.0052,0,0,1,0,0,0.462696,0,1,0.940757,0.961924,0,0,0.0157051,0.16066,0.275632,0.169449,0.169449,0,0.143805,0.220304,0,0,0.000238299,0.000917642,0,0,0,0.0554985,0,0,0,0.365205,0.446098,0,0.000130168,0.00220466,0,0.31579,0,0,0.00184125,4.61038e-05,0.0737319,0,0.110792,0.089849,
0.23068,0,1.00065,1.00527,0,0,1,0,0,0.469124,0,1,0.941456,0.962665,0,0,0.0201415,0.1575,0.281361,0.165112,0.165112,0,0.144986,0.226738,0,0,1.24873e-05,4.80835e-05,0,0,0,0.0607616,0,0,0,0.367158,0.43539,0,4.87104e-05,0.000828818,0,0.321552,0,0,0.00068887,0,0.0919382,0,0.128079,0.0879442,
0.22752,0,1.00064,1.00496,0,0,1,0,0,0.479013,0,1,0.941944,0.963184,0,0,0.0194312,0.162124,0.286295,0.163386,0.163386,0,0.151275,0.233925,0,0,0,0,0,0,0,0.0646997,0,0,0,0.37133,0.426752,0,2.55253e-06,0.0010315,0,0.326589,0,5.90867e-07,3.60971e-05,0,0.10144,0,0.134606,0.0860366,
0.221032,0,1.00053,1.00478,0,0,1,0,0,0.490397,0,1,0.942103,0.963355,0,0,0.0178838,0.163161,0.283874,0.162802,0.162802,0,0.161177,0.241796,0,0,0,0,0,0,0,0.066539,0,0,0,0.373899,0.417852,0,0,0.00363439,0,0.327849,0,3.08437e-05,0,0,0.106716,0,0.139219,0.0852499,
0.217392,0,1.00045,1.00495,0,0,1,0,0,0.495686,0,1,0.941945,0.963194,0,0,0.0222119,0.158441,0.282535,0.162598,0.162598,0,0.171311,0.247238,0,0,0,0,0,0,0,0.0694882,0,0,0,0.374382,0.406351,0,0,0.00647767,0,0.326196,0,0.000403558,0,0,0.111044,0,0.14498,0.0921067,
0.222449,0,1.00043,1.00496,0,0,1,0,0,0.492067,0,1,0.941506,0.962744,0,0,0.0253119,0.157961,0.286631,0.165257,0.165257,0,0.183534,0.249841,0,0,0,0,0,0,0,0.0714163,0,0,0,0.374976,0.395,0,0,0.0110404,0,0.318432,0,0.00100924,4.42674e-05,0,0.116756,0,0.150918,0.103383,
0.230254,0,1.00047,1.00464,0,0,1,0,0,0.479694,0,1,0.939171,0.960366,0,0,0.0206505,0.153228,0.286863,0.171621,0.171621,0,0.19389,0.249441,0,2.87957e-05,0,1.16974e-05,0,0,0,0.0725473,0,0,0,0.3801,0.387063,0,0,0.0122003,0,0.303069,0,0.000374016,0.000844806,0,0.115093,0,0.148239,0.108533,
