EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.398411,0,0.929059,1.00417,0,0,0.73149,0,0,0.347158,0,0.615143,1,1,0,0,0.00427625,0.273432,0.456291,0.155106,0.155106,0,0.304241,0.188491,0,0,0.0151332,7.57932e-05,0,0,0,0,0,0,0,0.13312,0.5112,0,0,0.000125171,0,0.334846,0,0,0,0,0,0,0.134681,0.0573214,
0.386244,0,0.939573,1.00426,0,0,0.73356,0,0,0.352968,0,0.617275,1,1,0,0,0.0150013,0.288331,0.455956,0.145418,0.145418,0,0.312717,0.189121,0,0,0.01162,0.00117233,0,0,0,0,0,0,0,0.132175,0.512584,0,0,0.000263697,0,0.333227,0,0,0,0,0,0,0.118256,0.0568823,
0.37184,0,0.947017,1.00422,0,0,0.736732,0,0,0.359677,0,0.620542,1,1,0,0,0.0272995,0.297355,0.459606,0.139749,0.139749,0,0.317151,0.185478,0,0,0.013024,0.0036374,0,0,0,0,0,0,0,0.131947,0.510799,0,0,9.75954e-05,0,0.33258,0,0,0,0,0,0,0.102505,0.0607657,
0.360387,0,0.947854,1.0042,0,0,0.739648,0,0,0.365468,0,0.623549,1,1,0,0,0.0313368,0.297426,0.453158,0.140398,0.140398,0,0.317183,0.181876,0,0,0.0146204,0.00309299,0,0,0,0,0,0,0,0.133358,0.506088,0,0,5.82557e-05,0,0.332455,0,0,0,0,0,0,0.0917111,0.0664055,
0.35619,0,0.946284,1.00423,0,0,0.74272,0,0,0.364076,0,0.626717,1,1,0,0,0.0316359,0.303977,0.451426,0.145635,0.145635,0,0.316927,0.18073,0,0,0.0143546,0.00160311,0,0,0,0,0,0,0,0.139136,0.500618,0,0,0.00110216,0,0.334783,0,0,0,0,0,0,0.0879241,0.0708825,
0.353572,0,0.943774,1.00418,0,0,0.746298,0,0,0.354549,0,0.63041,1,1,0,0,0.0310595,0.31006,0.451385,0.153219,0.153219,0,0.322036,0.185804,0,0,0.0105502,0.000383533,0,0,0,0,0,0,0,0.145561,0.49463,0,0,0.00439151,0,0.334974,0,0,0,0,0,0,0.0892957,0.0742269,
0.355961,0,0.936197,1.00404,0,0,0.749139,0,0,0.341984,0,0.633344,1,1,0,0,0.0248251,0.310957,0.448413,0.15709,0.15709,0,0.328215,0.196165,0,0,0.00896239,1.84407e-05,0,0,0,0,0,0,0,0.151877,0.491359,0,0,0.00550596,0,0.33798,0,0,0,0,0,0,0.0966221,0.0759251,
0.373422,0,0.921364,1.00378,0,0,0.749832,0,0,0.329928,0,0.634061,1,1,0,0,0.0175627,0.307763,0.444043,0.158265,0.158265,0,0.328707,0.205589,0,0,0.00847956,0,0,0,0,0,0,0,0,0.155608,0.492014,0,0,0.00173205,0,0.345772,0,0,0,0,0,0,0.108961,0.0783554,
0.385752,0,0.905946,1.00364,0,0,0.749333,0,0,0.31604,0,0.633549,1,1,0,0,0.0180053,0.30248,0.44138,0.161037,0.161037,0,0.326462,0.210294,0,0,0.0079128,0,0,0,0,0,0,0,0,0.156384,0.491106,0,0,0.000184486,0,0.348622,0,5.02525e-05,0,0,0,0,0.11596,0.0884659,
0.395507,0,0.89158,1.00362,0,0,0.747859,0,0,0.298212,0,0.632032,1,1,0,0,0.0201084,0.292412,0.443711,0.165499,0.165499,0,0.326995,0.2142,0,0,0.00862246,0,0,0,0,0,0,0,0,0.16067,0.488849,0,0,0.00195233,0,0.344475,0,0.000959039,0,0,0,0,0.118933,0.101442,
