EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.131978,0,0.87822,1.00395,0,0,0.260624,0,0,0.395417,0,0.245933,0.882543,0.883074,0,0,0,0.390988,0.397228,0.31507,0.31507,0.265352,0,0.205075,0,0.0339648,0,0,0,0.126652,0,0,0,0,0,0,0.0175182,0,0,0.107891,0,0.444736,0,0,0,0,0,0.0787373,0.0280808,0.324064,
0.114659,0,0.877515,1.00392,0,0,0.25949,0,0,0.400653,0,0.244798,0.882896,0.883425,0,0,0.0131064,0.40125,0.41202,0.309318,0.309318,0.268118,0,0.202526,0,0.0362921,0,0,0,0.128173,0,0,0,0,0,0,0.0214986,0,0.00282357,0.104305,0.000834904,0.444075,0,0,0.00119862,0,0,0.101754,0.0405376,0.328286,
0.10591,0,0.877268,1.0039,0,0,0.25883,0,0,0.390388,0,0.244137,0.882135,0.882662,0,0,0.0172745,0.39892,0.408287,0.306454,0.306454,0.270237,0,0.196651,0,0.0332574,0,0,0,0.134247,0,0,0,0,0,0,0.0214612,0,0.00338501,0.0988376,0.0022073,0.448602,0,0,0.000804802,0,0,0.109328,0.0455195,0.339229,
0.107958,0,0.876974,1.0038,0,0,0.259464,0,0,0.363029,0,0.244771,0.879897,0.880424,0,0,0.0116743,0.389526,0.40018,0.310134,0.310065,0.272589,0,0.187516,0,0.0202904,0,0,0,0.141387,0,0,0,0,0,0,0.027144,0,0.00105261,0.0879854,0.000825745,0.454917,0,0,0.000177334,0,0,0.103363,0.0323227,0.34889,
0.114852,0,0.88045,1.00366,0,0,0.259921,0,0,0.33538,0,0.245229,0.878942,0.879469,0,0,0.003502,0.383612,0.392752,0.306356,0.305032,0.280234,0,0.177097,0,0.0160266,0,0,0,0.134146,0,0,0,0,0,0,0.043515,0,5.33318e-05,0.0691459,4.32687e-05,0.458141,0,0,8.23609e-06,0,0,0.0886484,0.0229345,0.35025,
0.120554,0,0.88497,1.00348,0,0,0.261801,0,0,0.31701,0,0.247111,0.878961,0.879492,0,0,0.00193022,0.383328,0.386366,0.29436,0.290685,0.29306,0,0.168569,0,0.0183079,0,0,0,0.115959,0,0,0,0,0,6.56061e-05,0.063808,0,0,0.0494963,0,0.459911,0,0,0,0,0,0.0696484,0.0223665,0.347638,
0.124495,0,0.886052,1.00351,0,0,0.266003,0,0,0.317073,0,0.251318,0.877802,0.878341,0,0,0.00427382,0.382254,0.391092,0.293316,0.291453,0.310307,0,0.166859,0,0.0061183,0,0.000158174,0,0.101121,0,0,0,0,0,0.00128867,0.0785861,0,0,0.0317597,0,0.462289,0,0,0,0,0,0.0461435,0.0208533,0.347692,
0.125059,0,0.884882,1.0038,0,0,0.26404,0,0,0.334514,0,0.249353,0.877298,0.877833,0,0,0.00262262,0.379903,0.406105,0.291029,0.28048,0.336648,0,0.172386,0,0.00366394,0,0.00334985,0,0.0764543,0,0,0,0,0,0.00404567,0.0998897,0,2.53655e-05,0.0116469,0,0.467841,0,0,0,0,0,0.0194214,0.01372,0.346152,
0.118535,0,0.888837,1.00419,0,0,0.261953,0,0,0.368369,0,0.247263,0.878952,0.879483,0,0,0.00619226,0.385435,0.419586,0.279302,0.235025,0.379763,0,0.184326,0,0.00976612,0,0.0149897,0,0.0430085,0,0,0,0,0,0.00311691,0.131831,0,0.000576684,0.00183176,0,0.481788,0,0,0,0,0,0.00373577,0.00527117,0.343052,
0.113328,0,0.89927,1.0047,0,0,0.26215,0,0,0.417488,0,0.24746,0.882264,0.882798,0,0,0.0156495,0.398045,0.431807,0.26025,0.191742,0.444656,0,0.196529,0,0.00565026,0,0.031073,0,0.0173044,0,0,0,0,0,0.000763106,0.167647,0,0.00321292,7.62983e-05,0,0.502358,0,0,0,0,0,0.000268689,0.00431628,0.346789,
0.115029,0,0.910571,1.00514,0,0,0.262227,0,0,0.469485,0,0.247538,0.885828,0.886365,0,0,0.0208666,0.399355,0.447695,0.241969,0.163287,0.523524,0,0.203288,0,0.00104553,0,0.0486552,0,0.00347264,0,0,0,0,0,3.65489e-05,0.197818,4.76393e-05,0.00825114,0,0,0.527025,0,0,0,0,0,0.000267891,0.00650545,0.360878,
0.114146,0,0.921268,1.00515,0,0,0.262495,0,0,0.509187,0,0.247806,0.88691,0.887448,0,0,0.0195968,0.3963,0.464775,0.228374,0.145949,0.592098,0,0.20198,0,4.56921e-05,0,0.0655446,0,0.000159436,0,0,0,0,0,0,0.217096,0.000960823,0.0127097,0,0,0.549894,0,0,0,0,0,0.000100247,0.00246631,0.376825,
0.108356,0,0.930333,1.00516,0,0,0.27163,0,0,0.532564,0,0.256952,0.886855,0.887412,0,0,0.0226587,0.403582,0.461929,0.215004,0.134862,0.650419,0,0.198205,0,0,0,0.0836745,0,0,0,0,0,0,0,3.30015e-05,0.231045,0.00352775,0.0140924,0,0,0.561094,0,0,0,0,0,5.25318e-06,0.000957622,0.390388,
0.106226,0,0.934111,1.00528,0,0,0.280736,0,0,0.541327,0,0.266069,0.886273,0.886849,0,0,0.0226473,0.41001,0.452754,0.201876,0.128737,0.700518,0,0.197159,0,0,0,0.104285,0,0,0,0,0,0,0,0.000721583,0.242076,0.00578657,0.0140447,0,0,0.570892,0,0,0,0,0,0,0.0039219,0.402194,
0.109864,0,0.928928,1.00527,0,0,0.283023,0,0,0.542513,0,0.268359,0.88619,0.886771,0,0,0.0210518,0.403699,0.446574,0.191141,0.128313,0.740414,0,0.198802,0,0,0,0.128117,0,0,0,0,0,0,0,0.00361844,0.249765,0.00900638,0.0144166,0,0,0.58058,0,0,0,0,0,0,0.010009,0.410249,
0.117873,0,0.912939,1.00522,0,0,0.281969,0,0,0.540526,0,0.267304,0.886791,0.88737,0,0,0.0218966,0.38585,0.452585,0.182238,0.129039,0.768326,0,0.196824,0,0,0,0.150892,0,0,0,0,0,0,0,0.0088121,0.252842,0.00915902,0.0113819,0,0,0.585982,0,0,0,0,0,0,0.0143037,0.41855,
0.127384,0,0.890136,1.00507,0,0,0.279095,0,0,0.535004,0,0.264426,0.888293,0.888867,0,0,0.0210257,0.375135,0.467859,0.180308,0.141192,0.787312,0,0.188758,0,0,0,0.161687,0,0,0,0,0,0,0,0.0113579,0.244441,0.00500407,0.0103686,0,0,0.587643,0,0,0,0,0,0,0.00791983,0.431184,
0.135179,0,0.866863,1.00478,0,0,0.278294,0,0,0.522392,0,0.263623,0.888648,0.88922,0,0,0.0165729,0.378319,0.465288,0.191241,0.18102,0.797707,0,0.183658,0,0,0,0.147192,0,6.0603e-05,0,0,0,0,0,0.00423526,0.218839,0.00110932,0.0126859,0,0,0.582662,0,0,0,0,0,0,0.00161049,0.444469,
0.138637,0,0.852647,1.00462,0,0,0.27847,0,0,0.501068,0,0.2638,0.887586,0.888157,0,0,0.00783385,0.383894,0.455603,0.202885,0.196805,0.807056,0,0.185382,0,0,0,0.12344,0,0.00115661,0,0,0,0,0,0.000432084,0.191396,5.19823e-05,0.0163407,0,0,0.580081,0,0,0,0,1.6966e-05,0,7.32222e-05,0.452635,
0.138887,0,0.84592,1.00442,0,0,0.278277,0,0,0.478479,0,0.263607,0.886723,0.887294,0,0,0.00168322,0.383119,0.446764,0.198393,0.182791,0.823623,0,0.189655,0,0,0,0.115082,0,0.00309265,0,0,0,0,0,5.433e-05,0.17598,0,0.0200606,0,0,0.58591,0,0,0,0,0.000416855,0,0,0.458871,
0.141001,0,0.83897,1.00442,0,0,0.277787,0,0,0.459899,0,0.263116,0.886358,0.886928,0,0,0.00196213,0.383262,0.446173,0.189688,0.181753,0.843412,0,0.187262,0,0,0,0.117319,0,0.00115661,0,0,0,0,0,0.000786548,0.164117,0,0.0204139,0,0,0.589091,0,0,0,0,0.00264264,0,0,0.469401,
0.144047,0,0.827938,1.00442,0,0,0.280078,0,0,0.439955,0,0.26541,0.885856,0.88643,0,0,0.00598237,0.392801,0.451389,0.188329,0.182122,0.860802,0,0.180305,0,0,0,0.124849,0,6.0603e-05,0,0,0,0,0,0.0021154,0.155441,0,0.0158287,0,0,0.58201,0,4.58583e-05,0,0,0.00507793,0,5.68058e-05,0.482666,
0.142282,0,0.816811,1.00416,0,0,0.287573,0,0,0.414592,0,0.272915,0.884255,0.884844,0,0,0.00533704,0.399707,0.435129,0.193666,0.191473,0.872518,0,0.178129,0,0,0,0.119915,0,0,0,0,0,0,0,0.00109685,0.143682,3.97708e-06,0.00823723,0,0,0.571324,0,0.000875169,0,0,0.00179368,0,0.00113952,0.495811,
0.137077,0,0.80879,1.00381,0,0,0.295021,0,0,0.390471,0,0.280373,0.882795,0.883398,0,0,0.00313569,0.398663,0.414986,0.201412,0.201227,0.876112,0,0.183921,0,0,0,0.107084,0,1.04497e-06,0,0,0,0,0,0.00191638,0.132015,7.58954e-05,0.00278188,0,0,0.567916,0,0.00233951,0,0,9.30824e-05,0,0.00395576,0.498614,
0.132326,0,0.806137,1.00384,0,0,0.299049,0,0,0.382547,0,0.284406,0.881888,0.882499,0,0,0.000909252,0.396275,0.406167,0.204728,0.203353,0.878507,0,0.192481,0,0,0,0.101308,0,1.99414e-05,0,0,0,0,0,0.00356215,0.125591,0.000202815,0.000497473,0,0,0.577006,0,0.000875169,0,0,0,0,0.00391376,0.49584,
