EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.176973,0,0.690961,1.00412,0,0,0.474357,0,0,0.485229,0,0.459529,0.42723,0.427721,0,0,0.00644816,0.320997,0.453643,0.258264,0.258264,0,0.258298,0.162967,0,0.00185028,0,0,0,0.159071,0,0,0,0,0,0,0.349365,0,0.000519369,0.00588061,0,0.432304,0.000798287,0,0.0292376,0,0.0363994,0,0.11234,0.0802349,
0.18376,0,0.697623,1.00404,0,0,0.477933,0,0,0.471509,0,0.463112,0.424369,0.42486,0,0,0.0034123,0.320858,0.436281,0.266006,0.266006,0,0.260763,0.169979,0,0.000684657,0,0,0,0.182474,0,0,0,0,0,2.24427e-05,0.343003,0,0.00137284,0.00923976,0,0.442869,0.00211044,1.51405e-05,0.0117569,0,0.0253699,3.08271e-05,0.10836,0.080804,
0.187511,0,0.703597,1.00404,0,0,0.480481,0,0,0.454843,0,0.465666,0.422577,0.423069,0,0,0.000575582,0.312448,0.422296,0.282395,0.282395,0,0.269318,0.182152,0,3.58763e-05,0,0,0,0.21103,0,0,0,0,0,0.000428284,0.341531,0,0.000513672,0.012774,0,0.463535,0.00078953,0.000288931,0.0021923,0,0.0341767,0.000588293,0.111576,0.0690851,
0.189938,0,0.706236,1.00397,0,0,0.476879,0,0,0.435736,0,0.462056,0.423268,0.423757,0,0,0.000250832,0.308276,0.410165,0.297166,0.297166,0,0.278946,0.194657,0,0,0,0,0,0.231678,0,0,0,0,0,0.00114459,0.344972,0,2.69171e-05,0.0139982,0,0.478656,4.13713e-05,0.000772136,9.79168e-05,0,0.0491805,0.00157233,0.11282,0.0541738,
0.19334,0,0.706002,1.00359,0,0,0.465901,0,0,0.41053,0,0.451052,0.425425,0.425905,0,0,0.000607624,0.308559,0.401879,0.307337,0.307337,0,0.28712,0.205073,0,0,0,0,0,0.244201,0,0,0,0,0,0.000428284,0.346581,0,0,0.0175176,0,0.481369,1.66944e-06,0.000288931,0,0,0.0525699,0.000588293,0.107909,0.0499873,
0.191417,0,0.70536,1.00322,0,0,0.462056,0,0,0.395751,0,0.447199,0.426959,0.427437,0,0,0.000227374,0.308504,0.396295,0.311812,0.311812,0,0.293586,0.217479,0,4.28802e-05,0,0,0,0.247254,0,0,0,0,0,2.24427e-05,0.347895,0,0,0.0188304,0,0.478255,3.18583e-05,1.51405e-05,0,0,0.0419139,3.08271e-05,0.105245,0.051127,
0.184847,0,0.706684,1.00331,0,0,0.467223,0,0,0.403588,0,0.452378,0.427983,0.428467,0,0,1.19149e-05,0.310976,0.399009,0.312183,0.312183,0,0.293678,0.230462,0,0.000818329,0,0,0,0.252112,0,0,0,0,0,0,0.351067,0,0,0.0135369,0,0.474546,8.51345e-05,0,0,0,0.0253981,0,0.101628,0.0568393,
0.17873,0,0.710796,1.0038,0,0,0.480606,0,0,0.432236,0,0.465792,0.426292,0.426788,0,0,0.000158165,0.308903,0.414193,0.310325,0.310325,0,0.290205,0.238758,0,0.00218747,0,0,0,0.255867,0,0,0,0,0,0,0.354131,0,0,0.00955579,0,0.469824,3.18583e-05,0,0,0,0.0148905,0,0.0950567,0.0612839,
0.172393,0,0.719402,1.00412,0,0,0.484454,0,0,0.469068,0,0.469648,0.426415,0.426916,0,0,0.00317208,0.311021,0.429018,0.307434,0.307434,0,0.285962,0.244095,0,0.000845872,0,0,0,0.258938,0,0,0,0,0,0,0.35752,0,0,0.0047595,0,0.465367,1.66944e-06,0,0,0,0.0123225,0,0.0974625,0.0591282,
0.167532,0,0.732251,1.00437,0,0,0.483689,0,0,0.502134,0,0.468881,0.42725,0.42775,0,0,0.0112108,0.32063,0.441981,0.302222,0.302222,0,0.281558,0.249642,0,0.000684394,0,0,0,0.269131,0,0,0,0,0,0,0.359966,0,0,0.00161003,0,0.466167,0,0,0,0,0.0221964,0,0.11326,0.0549337,
