EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.0265678,0,1.00126,1.00516,0,0,0.228934,0,0,0.595802,0,0.101541,1,1,0,0,0.0334448,0.280241,0.317298,0.239875,0.239875,0,0.0608746,0.427823,0,0,0.570528,0.610141,0,0.0157386,0,0,0,0,0.154456,0.00574925,0.0343993,0.0441428,0,6.18468e-05,0,0.371561,0,0,0,0,0,0,0.124293,0.279807,
0.0284753,0,1.00134,1.00502,0,0,0.229777,0,0,0.588823,0,0.102401,1,1,0,0,0.0356453,0.28565,0.317792,0.238274,0.238274,0,0.0749646,0.422249,0,0,0.568179,0.613762,0,0.0117482,0,0,0,0,0.145337,0.00804147,0.0300984,0.0415455,0,0.00121962,0,0.371385,0,0,0,0,0,0,0.124003,0.288505,
0.0306724,0,1.00138,1.00486,0,0,0.22952,0,0,0.579778,0,0.102154,1,1,0,0,0.0346102,0.289084,0.320432,0.239272,0.239272,0,0.0900988,0.419843,0,0,0.568462,0.605905,0,0.00813365,0,0,0,0,0.130946,0.00843997,0.0208701,0.0384631,0,0.00390531,0,0.370987,0,0,0,0,0,0,0.123676,0.296698,
0.0307522,0,1.00139,1.00483,0,0,0.230241,0,0,0.571581,0,0.102885,1,1,0,0,0.0343892,0.292623,0.324502,0.240308,0.240308,0,0.0976639,0.423296,0,0,0.570192,0.591238,0,0.00667917,0,0,0,0,0.118026,0.00772282,0.0138483,0.035479,0,0.00318337,0,0.373095,0,0,0,0,3.05935e-05,0,0.126294,0.299538,
0.0348685,0,1.00149,1.0048,0,0,0.252417,0,0,0.561609,0,0.125152,1,1,0,0,0.033747,0.291617,0.325366,0.241081,0.241081,0,0.0981982,0.429499,0,0,0.570643,0.585104,0,0.00749506,0,0,0,0,0.108407,0.00786273,0.0148862,0.0324926,3.10831e-05,0.000811061,0,0.376279,0,0,0,0,0.000583834,0,0.133292,0.300181,
0.0470189,0.00115076,1.00186,1.00451,0,0,0.363804,0,0,0.537962,0,0.237813,1,1,0,0,0.0327016,0.284131,0.317572,0.241144,0.241144,0,0.0940185,0.43057,0,0,0.571139,0.589348,0,0.00878164,0,0,0,0,0.0911188,0.012873,0.0166061,0.0303036,0.00059318,3.92586e-05,0,0.380333,0,0,0,0,0.00156041,3.49028e-05,0.140026,0.306628,
0.0797965,0.0256685,1.00289,1.00404,0,0,0.474667,0,0,0.182961,0,0.350803,1,1,0,0,0.0257669,0.279362,0.315883,0.240146,0.240146,0,0.086344,0.427573,0,0,0.570961,0.596546,0,0.00649912,0,0,0,0,0.0787549,0.0115159,0.0163545,0.0308297,0.0015854,2.15902e-05,0,0.385111,0,0,0,0,0.000583834,0.000731248,0.143306,0.325607,
0.258864,0.192037,1.00357,1.00387,0,0,0.49829,0,0,0.0248555,0,0.374638,1,1,0,0,0.0241363,0.278682,0.319991,0.238891,0.238891,0,0.0811707,0.423092,0,0,0.572778,0.603228,0,0.00531297,0,0,0,0,0.074566,0.00573658,0.0176847,0.0319317,0.00059318,0.000413531,0,0.389446,0,0,0,0,3.05935e-05,0.00316536,0.141155,0.347451,
0.311334,0.234821,1.00309,1.00368,0,0,0.501423,0,0,0.00116275,0,0.377825,1,1,0,0,0.0327116,0.280961,0.327526,0.238594,0.238594,0,0.07864,0.418204,0,0,0.577073,0.609095,0,0.00579586,0,0,0,0,0.0689996,0.00161906,0.0174751,0.031015,3.10831e-05,0.00113004,0,0.394538,0,0,0,0,0,0.00692396,0.13408,0.362547,
0.293772,0.209316,1.00242,1.00339,0,0,0.502871,0,0,0,0,0.379287,1,1,0,0,0.0391046,0.289724,0.330568,0.237054,0.237054,0,0.0743814,0.40982,0,0,0.580844,0.614913,0,0.00514649,0,0,0,0,0.0576237,0.00155391,0.0152162,0.0293271,0,0.000561217,0,0.397485,0,0,0,0,0,0.0133646,0.124762,0.372243,
0.24124,0.158781,1.00214,1.00352,0,0,0.52626,0,0,0,0,0.402745,0.999286,0.999441,0,0,0.0437196,0.295805,0.334884,0.233614,0.233614,0,0.0722831,0.39978,0,0,0.586047,0.620234,0,0.00345161,0,0,0,0,0.0476354,0.0025854,0.0136327,0.0281115,1.96019e-06,0.00146688,0,0.401129,0,0,0,0,0,0.0205261,0.116341,0.378938,
0.190559,0.0984881,1.00217,1.00349,0,0,0.663799,0,0,0.000575237,0,0.542028,0.984963,0.988116,0,0,0.0475395,0.300744,0.339625,0.230894,0.230894,0,0.0739292,0.393053,0,0,0.592282,0.623597,0,0.00253108,0,0,0,0,0.0417043,0.00286214,0.0131408,0.0257367,0.000155233,0.00452541,0,0.404478,0,0,0,0,0,0.0237097,0.110652,0.384861,
0.149589,0.0366323,1.00226,1.0033,0,0,0.935863,0,0,0.012105,0,0.83966,0.928525,0.942876,0,0,0.0492946,0.305914,0.342089,0.228237,0.228237,0,0.0692473,0.39169,0,0,0.59599,0.62528,0,0.00314998,0,0,0,0,0.043412,0.000900172,0.0153331,0.0197517,0.00256567,0.00366037,0,0.406204,0,0,0,0,0,0.0227182,0.112777,0.394551,
0.120615,0.0065605,1.00245,1.00324,0,0,0.987737,0,0,0.055163,0,0.975238,0.868889,0.888255,0,0,0.0421743,0.308899,0.344458,0.228055,0.228055,0,0.058057,0.393753,0,0,0.592745,0.624895,0,0.00408718,0,0,0,0,0.0501366,4.57716e-05,0.0158632,0.0118662,0.0104768,0.000927962,0,0.409804,0,0,0,0,0,0.0191638,0.124666,0.408252,
0.107298,0.000293149,1.00243,1.00314,0,0,0.999403,0,0,0.104898,0,0.998821,0.853211,0.873113,0,0,0.0384648,0.306625,0.346428,0.228019,0.228019,0,0.0445589,0.398597,0,0,0.589174,0.622856,0,0.00403607,0,0,0,0,0.0524473,0,0.0149053,0.0034942,0.0186873,4.6504e-05,0,0.414663,0,0,0,0,0,0.0164252,0.140605,0.424506,
0.101656,0,1.00223,1.00303,0,0,1,0,0,0.141738,0,1,0.853077,0.873007,0,0,0.042708,0.303014,0.350764,0.226111,0.226111,0,0.033354,0.403102,0,0,0.591353,0.621184,0,0.00422914,0,0,0,0,0.0444987,0,0.0155225,0.00087486,0.021363,4.40851e-06,0,0.417793,0,0,0,0,0,0.013209,0.152684,0.439307,
0.0963617,0,1.00216,1.00313,0,0,1,0,0,0.169973,0,1,0.855989,0.87594,0,0,0.0464625,0.303323,0.361509,0.219908,0.219908,0,0.0275908,0.401164,0,0,0.596632,0.624939,0,0.00214144,0,0,0,0,0.0321122,0,0.0171821,0.00185369,0.0143461,1.64971e-06,0,0.416096,0,0,0,0,0,0.00802048,0.147896,0.452061,
0.0918183,0,1.00218,1.00322,0,0,1,0,0,0.186102,0,1,0.85721,0.877203,0,0,0.0485107,0.304505,0.364287,0.213172,0.213172,0,0.0284756,0.396981,0,0,0.600963,0.636804,0,0.000407391,0,0,0,0,0.025731,4.36297e-05,0.017805,0.0062522,0.00423184,8.64487e-08,0,0.415181,0,0,0,0,0,0.0020098,0.145204,0.45996,
0.0878612,0,1.00214,1.003,0,0,1,0,0,0.191857,0,1,0.855791,0.875872,0,0,0.0520052,0.312587,0.35824,0.20961,0.20961,0,0.0312588,0.391317,0,0,0.606668,0.651599,0,1.80993e-05,0,0,0,0,0.0280886,0.000832634,0.0175839,0.00826373,0.000440346,0,0,0.414344,0,0,0,0,0,9.74612e-05,0.143545,0.472794,
0.0877734,0,1.00213,1.00285,0,0,1,0,0,0.192962,0,1,0.856621,0.876753,0,0,0.0526146,0.315138,0.35148,0.206019,0.206019,0,0.0293888,0.382092,0,0,0.615203,0.66364,0,0,0,0,0,0,0.0305205,0.00222573,0.0200509,0.0057359,2.70654e-05,0,0,0.413923,0,0,0,0,0,7.09878e-05,0.142139,0.487658,
0.0985433,0,1.0022,1.00301,0,0,1,0,0,0.194545,0,1,0.857647,0.877807,0,0,0.0420862,0.306284,0.348083,0.203891,0.203891,0,0.0230292,0.380219,0,0,0.619779,0.672916,0,0,0,0,0,0,0.0351054,0.000933542,0.0270276,0.00245239,0.00024563,0,0,0.416301,0,0,0,0,0,0.00135485,0.149839,0.495725,
0.119794,0,1.00202,1.00299,0,0,1,0,0,0.198165,0,1,0.861081,0.88131,0,0,0.0329028,0.290656,0.352886,0.20499,0.20499,0,0.0139141,0.384726,0,0,0.62273,0.682146,0,0,0,0,0,0,0.0403269,0.00219011,0.0371253,0.00157914,0.000656413,0,0,0.419419,0,0,0,0,5.06162e-06,0.00362355,0.156132,0.497646,
0.137583,0,1.00187,1.00292,0,0,1,0,0,0.193267,0,1,0.865475,0.885799,0,0,0.0347343,0.283366,0.35389,0.206145,0.206145,6.49829e-05,0.00605382,0.388174,0,0,0.633884,0.694375,0,0,0,0,0,0,0.0431414,0.00948393,0.0504745,0.000907075,0.000258828,0,0,0.423396,0,0,0,0,9.65917e-05,0.00140682,0.15775,0.496233,
0.142624,0,1.00186,1.00287,0,0,1,0,0,0.175758,0,1,0.869423,0.889846,0,0,0.0427405,0.289955,0.338573,0.206429,0.206429,0.00129851,0.00127451,0.394702,0,0,0.649328,0.70742,0,0.000115033,0,0,0,0,0.0465804,0.015147,0.0605311,0.00141637,0.000264734,2.18213e-05,0,0.429831,0,0,0,0,0.000258122,0.00106249,0.159418,0.500238,
0.141508,0,1.00183,1.0028,0,0,1,0,0,0.159213,0,1,0.872191,0.892687,0,0,0.0443414,0.291957,0.330894,0.207826,0.207826,0.0045712,5.91899e-05,0.418924,0,0,0.656274,0.716054,0,0.00240008,0,0,0,0,0.0524614,0.00940277,0.0678785,0.00486284,0.000730548,0.000416425,0,0.434377,0,0,0,0,9.65917e-05,0.00265071,0.173317,0.505788,
