EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0,0,0.773924,1.00071,0.22609,0.228038,0.449864,0,0.0245821,0.199481,0,0.312584,0,0,0.75518,0.682306,0,0,0,0.157896,0,0.340255,0,0.69588,0.262703,0.281794,0.404269,0.333625,0.0348877,0,0.430685,0.259799,0,0,0.0458527,0,0,0,0.336717,0.16673,0,0.0960483,0.0246971,0,0,0.440189,1,1,0,0.00351432,
0.0762297,0,1.00086,1.00545,0,0,0.228108,0,0,0.766143,0,0.097196,1,1,0,0,0.013755,0.375517,0.501167,0.286109,0.286109,0,0.353635,0.188869,0,0,0,3.84623e-05,0,0,0,0,0,0,0.244312,0.00135516,0.354337,0,0,0.0321758,0,0.268209,0,0,0,0,0,0,0.039395,0.0873493,
0,0,0.773924,1.00071,0.22609,0.228038,0.449864,0,0.0245821,0.199481,0,0.312584,0,0,0.75518,0.682306,0,0,0,0.157896,0,0.340255,0,0.69588,0.262703,0.281794,0.404269,0.333625,0.0348877,0,0.430685,0.259799,0,0,0.0458527,0,0,0,0.336717,0.16673,0,0.0960483,0.0246971,0,0,0.440189,1,1,0,0.00351432,
0.0762297,0,1.00086,1.00545,0,0,0.228108,0,0,0.766143,0,0.097196,1,1,0,0,0.013755,0.375517,0.501167,0.286109,0.286109,0,0.353635,0.188869,0,0,0,3.84623e-05,0,0,0,0,0,0,0.244312,0.00135516,0.354337,0,0,0.0321758,0,0.268209,0,0,0,0,0,0,0.039395,0.0873493,
0.253076,0,1.00069,1.00417,0,0,0.768407,0,0,0.296065,0,0.652382,0.947117,0.960811,0,0,0.0472066,0.426172,0.51664,0.235757,0.235192,0,0.115613,0.323498,0,0,0.00216269,0.00325209,0,0,0,0,0,0,0.116951,0.067502,0.248599,0,0,0,0,0.226327,0,0,0,0,0,0,0.149521,0.699088,
0.233606,0,1.0007,1.00427,0,0,0.768214,0,0,0.306517,0,0.652187,0.948486,0.962196,0,0,0.0555845,0.432641,0.51994,0.236505,0.235106,0,0.117218,0.314747,0,0,0.0075272,0.0116765,0,0,0,0,0,0,0.117492,0.06467,0.244432,0,0,0,0,0.232546,0,0,0,0,0,1.3036e-05,0.139822,0.699745,
0.217014,0,1.00071,1.00436,0,0,0.767387,0,0,0.322849,0,0.65134,0.949593,0.963302,0,0,0.0591694,0.439655,0.524445,0.234942,0.233871,0,0.122835,0.304985,0,0,0.0106447,0.0185356,0,0,0,0,0,0,0.115782,0.0642052,0.239647,0,0,0,0,0.233576,0,0,0,0,0,0.000246039,0.131131,0.704391,
0.206318,0,1.00067,1.0044,0,0,0.766408,0,0,0.340419,0,0.650336,0.949688,0.963378,0,0,0.0591984,0.441839,0.528325,0.233721,0.233458,0,0.133535,0.302347,0,0,0.00353331,0.0130546,0,0,0,0,0,0,0.108816,0.0621418,0.234533,0,0,0,0,0.224415,0,0,0,0,0,0.000686187,0.12951,0.713507,
0.196125,0,1.00058,1.00427,0,0,0.765996,0,0,0.356318,0,0.649916,0.949461,0.96314,0,0,0.0651806,0.441888,0.529419,0.232759,0.232746,0,0.142645,0.303699,0,0,0.000317565,0.0121644,0,0,0,0,0,0,0.108256,0.0609771,0.228524,0,0,3.22583e-05,0,0.22253,0,2.78693e-06,0,0,0,0.000874119,0.126335,0.722497,
0.186116,0,1.00058,1.00413,0,0,0.766138,0,0,0.366145,0,0.650066,0.949088,0.962764,0,0,0.0764927,0.438404,0.531858,0.231781,0.231781,0,0.155454,0.308445,0,0,5.21704e-05,0.00716192,0,0,0,0,0,0,0.107076,0.0588143,0.218255,0,0,0.000674495,0,0.221799,0,7.05886e-05,0,0,0,0.00307886,0.128554,0.732846,
