EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.390939,0,0.0237848,1.0059,0,0,0.12506,0,0,0.598934,0,0.109795,0.638092,0.638275,0.0813522,0,1.61467e-06,0.00113232,0.416762,0.342359,0.342359,0,0.338939,0.365906,0,0,0,0,0,0.0799813,0,0,0,0,0.00707521,0,0.191083,0,0,0.266778,0.00054491,0.425308,0,0,0.0268066,0,0.653364,0.271093,0.131764,1.00943e-06,
0.41966,0,0.00134172,1.00588,0,0,0.129163,0,0,0.626701,0,0.113901,0.632777,0.632966,0.12028,0,0,0,0.43128,0.357256,0.357256,0,0.357564,0.369662,3.31552e-05,0,0,0,0,0.0861079,0,0,0,0,0.00801864,0,0.203886,0,0,0.28502,1.90875e-05,0.432312,0,0,0.0137189,0.00014038,0.66967,0.243108,0.129697,0,
0.424236,0,0.00491906,1.00561,0,0,0.131856,0,0,0.620477,0,0.116595,0.629907,0.630099,0.140282,0,0,0,0.429851,0.35694,0.357134,0,0.379893,0.363307,0.00127525,0.000574225,0,0,0,0.083812,0,0,0,0,0.00310262,0,0.213515,0,0.000315309,0.296444,7.35594e-05,0.432696,0,0,0.00298293,0.00349603,0.675461,0.233128,0.116623,0,
0.406116,0,0.0314582,1.00528,0,0,0.121017,0,0,0.520142,0,0.10575,0.634943,0.635119,0.147076,0,0,0,0.386405,0.308717,0.304598,0,0.39317,0.334912,0.0149409,0.0116906,0,0,0,0.0662511,0,0,0,0,0.000415259,0,0.209355,0,0.00635716,0.29142,0.00146511,0.42149,0,0,0.000139341,0.0246882,0.689996,0.269254,0.0718649,1.43082e-05,
0.383981,0,0.097,1.00516,0,0,0.105756,0,0,0.422278,0,0.0904791,0.648616,0.648771,0.169971,0,0,0,0.350206,0.218198,0.104855,0,0.394192,0.295334,0.0528856,0.0442868,2.6572e-05,4.13539e-05,0,0.038597,0,0,0,0,1.57057e-05,0,0.192076,0,0.0230004,0.286366,0.0049221,0.406677,0,0,0,0.0764863,0.724371,0.404418,0.026813,0.000273047,
0.370637,0.000134393,0.161401,1.0048,0,0,0.0995089,0,0,0.332609,0,0.0842289,0.66141,0.661559,0.198535,0,0,0,0.315192,0.148404,0.0229644,0,0.386514,0.256073,0.0823714,0.0587337,0.000507086,0.000933517,0,0.00923708,0,0,0,0,0,0,0.168292,0,0.030728,0.271091,0.00452489,0.400506,0,0,0,0.123422,0.766172,0.557232,0.00487933,0.000811434,
0.372351,0.00348347,0.195805,1.00342,0,0,0.102305,0,0,0.0818488,0,0.087026,0.668541,0.668696,0.213627,0.000411185,0,0,0.261193,0.127905,0.00215204,0,0.384972,0.230145,0.116066,0.0677097,0.0015987,0.00520131,0,0.000444913,4.05313e-05,0,0,0,3.75384e-05,0,0.141869,0.000188417,0.0332468,0.254963,0.00124052,0.412587,0.000244242,0,0,0.172895,0.791776,0.692966,0.000612898,0.00183286,
0.394423,0.0312746,0.182766,0.99978,0,0,0.10748,0,0,0.0157769,0,0.0922032,0.673581,0.673746,0.232084,0.0100227,0,0,0.194127,0.127743,6.36499e-05,0,0.379,0.225066,0.114979,0.0697801,0.00565568,0.0151189,5.69645e-05,0,0.000773499,0,0,0,0.000716378,0,0.121827,0.00400712,0.0349383,0.240126,6.11443e-05,0.431721,0.00466835,0,0,0.200256,0.835843,0.803966,0.00796872,0.00418698,
0.437478,0.263517,0.131861,0.501384,0,0,0.1197,0,0,0.000772243,0,0.104429,0.6781,0.678286,0.268176,0.383978,0,0,0.0256451,0.135959,0,0,0.332949,0.250689,0.0728791,0.0186075,0.0232479,0.0312012,0.00108716,0,0.00206757,0,0,0,0.00191481,0,0.11769,0.0180068,0.0565935,0.173898,0,0.456354,0.0125996,0,0,0.193195,0.915636,0.974423,0.028715,0.00170815,
0.477192,0.307889,0.0693482,0.46496,0,0,0.134712,0,0,0,0,0.119451,0.660897,0.661103,0.346256,0.430781,0,0,0.00114977,0.147635,0,0,0.275381,0.284897,0.0292074,0.000963267,0.0488245,0.0483283,0.00290674,0,0.000773499,0,0,0,0.000716378,0,0.122921,0.0332326,0.0935234,0.113595,0,0.46448,0.00466835,0,0,0.181943,0.98281,0.998838,0.0345222,0.00317688,
0.509635,0.331453,0.0257799,0.419604,0,0,0.139623,0,0,0,0,0.124365,0.653218,0.653429,0.417223,0.488184,0,0,0,0.154762,0,0,0.232482,0.319481,0.00611175,0.0010828,0.0773107,0.0603698,0.00108716,0,4.05313e-05,0,0,0,3.75384e-05,0,0.131072,0.0359061,0.120893,0.0903355,0,0.46296,0.000244242,0,0,0.172725,0.999136,1,0.0286458,0.0129568,
0.535657,0.349391,0.00487783,0.371505,0,0,0.141506,0,0,0,0,0.126249,0.652783,0.652997,0.457407,0.533292,0,0,0,0.151878,0,0,0.202303,0.358303,0.000486013,0.00547599,0.0991032,0.0697677,5.69645e-05,0,0,0,0,0,0,0,0.139631,0.0277603,0.124091,0.0790077,0,0.469395,0,0,0,0.156472,0.99909,1,0.0220539,0.0226682,
0.551933,0.360758,0.000221229,0.326922,0,0,0.143649,0,0,0,0,0.128393,0.65227,0.652488,0.483615,0.557994,0,0,0,0.140473,0,0,0.178465,0.398437,0.000799365,0.0119107,0.110277,0.0769741,0,0,0,0,0,0,0,0,0.143976,0.0143703,0.120879,0.0683041,0,0.481066,0,0,0,0.137128,0.997567,1,0.0200295,0.0289861,
0.563675,0.365189,3.86255e-08,0.292602,0,0,0.146636,0,0,0,0,0.131383,0.65021,0.650431,0.502079,0.577344,0,0,0,0.13091,0,0,0.158467,0.434363,0.00267086,0.0168062,0.116363,0.0830407,0,0,0,0,0,0,0,0,0.146692,0.00324043,0.124947,0.0609401,0,0.493105,0,7.44061e-05,0,0.126004,0.998963,1,0.0145834,0.0374646,
0.572639,0.366869,0,0.271976,0,0,0.150245,0,0,0,0,0.134994,0.644258,0.644482,0.524455,0.578604,0,0,0,0.127855,8.49303e-05,0,0.141816,0.459012,0.00304498,0.0221704,0.124382,0.0861907,0,0,0,0,0,0,0,0,0.146181,0.000153093,0.130685,0.0655458,0,0.500844,0,0.00142011,0,0.121539,0.997288,1,0.00391998,0.0511609,
0.573148,0.368793,0,0.260666,0,0,0.150694,0,0,0,0,0.135444,0.641995,0.64222,0.532604,0.592586,0,0,0,0.134552,0.00256278,0,0.131245,0.470041,0.00238909,0.021905,0.133785,0.0862319,0.000203344,0,0,0,0,0,0,0,0.139593,0.000277474,0.139617,0.0777864,0,0.501402,0,0.00379839,0,0.116556,0.988256,1,0.000848193,0.0663151,
0.571555,0.37458,0,0.246789,0,0,0.149673,0,0,0,0,0.134423,0.643071,0.643295,0.505088,0.577656,0,0,0,0.148623,0.0245974,0,0.115752,0.470379,0.000681821,0.0146807,0.137579,0.089376,0.00426421,0.000103178,0,0,0,0,0,0,0.137343,0.00602363,0.138074,0.072805,0,0.511396,0,0.00142011,0,0.0877632,0.972027,0.99959,0.0138506,0.0759875,
0.578995,0.38977,0,0.223746,0,0,0.151302,0,0,0,0,0.136053,0.646108,0.646336,0.390337,0.506257,0,0,0,0.182905,0.105227,0,0.0912953,0.47027,3.4045e-05,0.00380504,0.145038,0.0966988,0.017794,0.00282574,0,0,0,0,0,0,0.156411,0.0298038,0.118811,0.0338804,0,0.547867,0,7.44061e-05,0.000238504,0.02251,0.943663,0.991636,0.0670632,0.0585924,
