EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0,0,0.137476,0.779421,0.0710913,0.0714656,0.300145,0,0.0549802,0.231629,0,0.158322,0,0,0.760829,0.504588,0.00180947,0,0,6.34382e-06,6.34382e-06,0.120744,0,0.353098,0.030159,0.00267252,0,0.00159833,0,0.0658311,0.000948686,8.10739e-06,0.000332308,0,0,0,0,0,0.265108,0.180462,0.0767151,0.00377434,0.000164059,0.000503103,0.147818,0.0848381,0.0101457,0.938037,0.0023773,0.0755078,
0,0,0.178787,0.790101,0.0701914,0.0705642,0.302235,0,0.0481914,0.218941,0,0.160433,0,0,0.774583,0.506225,0.0011041,0,0,2.94611e-05,3.28784e-07,0.109535,0,0.347055,0.0417127,0.0107974,0.000108259,0.00295422,0,0.0551635,0.0197543,0.00067649,0.00670899,1.58137e-05,0,0,0,0,0.278878,0.168707,0.0762304,0.0133199,0.003526,0.00132984,0.13818,0.0886052,0.0112596,0.930612,0.000879549,0.0826633,
0.000186485,0,0.236558,0.821407,0.0624502,0.062784,0.303748,0,0.0292876,0.196375,0,0.161945,0,0,0.806186,0.532236,0.000220425,0,0,0.000743767,0,0.0926883,0,0.335206,0.100559,0.0583749,0.00234737,0.00926696,0.000295859,0.0308014,0.0974193,0.0112317,0.0255127,0.000301778,2.45724e-07,0,0,0,0.288985,0.15323,0.0563051,0.0481806,0.0167457,0.000497584,0.106033,0.113473,0.0543161,0.923282,4.60878e-05,0.0990669,
0.00379922,0,0.287725,0.859363,0.0547865,0.0550812,0.305116,0,0.00875174,0.171955,0,0.163306,0,0,0.830685,0.578773,1.84527e-05,0,0,0.00509128,0,0.0833569,0,0.324651,0.175743,0.160806,0.0112022,0.015651,0.00608209,0.0108237,0.168779,0.0439018,0.0339683,0.000806471,0.000170322,0,0,0,0.285844,0.152458,0.0308297,0.103588,0.0280791,2.6074e-05,0.049489,0.152581,0.126547,0.910777,0,0.116515,
0.0143393,0,0.320033,0.891425,0.0529887,0.0532745,0.305665,0,0.00102693,0.153629,0,0.163848,0,0,0.845929,0.608325,0.000163093,0,0,0.0106067,0,0.0842909,0,0.318927,0.198628,0.229972,0.0221805,0.0229042,0.0238607,0.0106864,0.199328,0.0625122,0.0268275,0.000301778,0.00335841,0,0,0,0.278633,0.165132,0.00754915,0.128993,0.0153976,8.90865e-05,0.0101152,0.182046,0.177129,0.888639,0,0.112375,
0.0201941,0,0.332229,0.908936,0.0528589,0.0531441,0.305726,0,3.65094e-05,0.144482,0,0.163902,0,0,0.851849,0.609134,0.000435837,0,0,0.00749368,0,0.0855101,0,0.315188,0.192251,0.251542,0.0283053,0.0289499,0.0341023,0.0038493,0.211921,0.0558425,0.0144378,1.58137e-05,0.0121274,0,0,0,0.259271,0.174191,0.000449028,0.133927,0.00302154,0.00185219,0.000472445,0.193451,0.185716,0.872482,0,0.0984651,
0.0208957,0,0.326863,0.910995,0.0525788,0.0528622,0.305519,0,0,0.142148,0,0.163687,0,0,0.856716,0.642468,0.000163093,0,0,0.0125221,0,0.0889549,0,0.319175,0.186934,0.256029,0.0387934,0.0414294,0.0308764,0.000228451,0.218691,0.0447161,0.00339384,0,0.0152696,0,4.95078e-05,0.000116047,0.247606,0.188905,5.21218e-06,0.133149,0.000135883,0.00769346,0,0.207001,0.169388,0.86146,0,0.0932192,
0.021659,0,0.310754,0.898353,0.0523174,0.0525988,0.305031,0,0,0.142443,0,0.163188,0,0,0.854587,0.662269,8.54643e-06,0,0,0.0180969,6.61123e-05,0.0923443,0,0.327242,0.180066,0.254076,0.0496344,0.0530261,0.0293545,7.22292e-05,0.213382,0.025767,0.000162205,0,0.0130491,0,0.000944826,0.00228123,0.2451,0.211328,0.000136356,0.129396,0,0.0140696,0,0.224192,0.142594,0.849765,0,0.0911837,
0.0200335,0,0.292283,0.874278,0.0514167,0.0516912,0.303201,0,0.000135978,0.153064,0,0.161333,0,0,0.844471,0.657996,0,0,0,0.0179774,0.00126776,0.093399,0,0.335515,0.156955,0.232069,0.0540099,0.0590218,0.0302631,4.52409e-05,0.190342,0.00608031,0,0,0.0140796,0,0.00253642,0.00718892,0.240709,0.22321,0.00306638,0.116207,0,0.0153355,0.000187795,0.233015,0.0967115,0.837061,0,0.0822562,
0.0124268,0,0.278473,0.852694,0.048949,0.0492048,0.29819,0,0.00370591,0.18834,0,0.156264,0,0,0.823331,0.647496,0,0,0,0.00880367,0.00386499,0.0929422,0,0.341959,0.114185,0.157849,0.0363458,0.0456536,0.0186055,0.000879471,0.149141,0.000290918,0,0,0.0238931,0,0.00114635,0.00557906,0.229469,0.211832,0.0167314,0.0819761,0,0.0047327,0.00473557,0.221811,0.0390763,0.82986,0,0.0590797,
