EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.21559,0,1.0003,1.00264,0,0,1,0,0,0.467842,0,1,1,1,0,0,0.0263339,0.391257,0.453276,0.201469,0.201469,0,0.21157,0.284762,0,0,0.00181501,0.000737441,0,0,0,0.000789648,0,0,0.000636363,0.11977,0.404411,0,0,0.0037252,0,0.318748,0,0,0,0,0,0,0.0863437,0.789323,
0.224096,0,1.00028,1.00244,0,0,1,0,0,0.470071,0,1,1,1,0,0,0.0246223,0.397611,0.491022,0.200655,0.200655,0,0.212069,0.287253,0,0,8.89932e-05,0.000522277,0,0,0,0.000295484,0,0,0.00272428,0.109921,0.404012,0,0,0.00170154,0,0.315758,0,0,0,0,0,0,0.0851312,0.794416,
0.227363,0,1.00024,1.00241,0,0,1,0,0,0.474731,0,1,1,1,0,0,0.0348773,0.396938,0.464443,0.198518,0.198518,0,0.210528,0.287798,0,0,6.50291e-05,0.00196693,0,0,0,1.54839e-05,0,0,0.00665094,0.0951888,0.40017,0,0,0.00024107,0,0.31222,0,0,0,0,0,0,0.0829552,0.80322,
0.227714,0,1.00018,1.00236,0,0,1,0,0,0.474346,0,1,1,1,0,0,0.0398989,0.389706,0.444467,0.198635,0.198635,0,0.209539,0.285619,0,0,0.00128664,0.00414664,0,0,0,0,0,0,0.0105998,0.0865501,0.396566,0,0,0.000278975,0,0.310876,0,0,0,0,0,0,0.0810894,0.812092,
0.230956,0,1.00013,1.00211,0,0,1,0,0,0.468465,0,1,1,1,0,0,0.0425841,0.379535,0.445024,0.198771,0.198771,0,0.214314,0.284974,0,0,0.00420764,0.00747699,0,0,0,0,0,0,0.00971752,0.087518,0.396578,0,0,0.00189737,0,0.313266,0,0,0,0,0,0,0.089453,0.811624,
0.238402,0,1.00012,1.00188,0,0,1,0,0,0.461049,0,1,1,1,0,0,0.0422779,0.36842,0.449623,0.199197,0.199197,0,0.222099,0.282783,0,0,0.00394363,0.00837907,0,0,0,0,0,0,0.00373834,0.0941303,0.398324,0,0,0.00536377,0,0.31909,0,0,0,0,0,0,0.0981473,0.808052,
0.245733,0,1.00012,1.00185,0,0,1,0,0,0.455876,0,1,1,1,0,0,0.0390952,0.362383,0.443911,0.199797,0.199797,0,0.225038,0.278519,0,0,0.00194764,0.00690285,0,0,0,0,0,0,0.00142667,0.10031,0.401304,0,0,0.00630951,0,0.322156,0,0,0,0,0,0,0.0977939,0.812731,
0.251394,0,0.999963,1.00206,0,0,1,0,0,0.44614,0,1,1,1,0,0,0.035504,0.360508,0.435325,0.200749,0.200749,0,0.226134,0.273801,0,0,0.000424757,0.00333456,0,0,0,0,0,0,0.00244338,0.101821,0.400553,0,0,0.007154,0,0.323448,0,0,0,0,0,0,0.0934864,0.821138,
0.264244,0,0.996669,1.00218,0,0,1,0,0,0.412082,0,1,1,1,0,0,0.0347956,0.365304,0.430132,0.199792,0.199792,0,0.224056,0.276135,0,0,1.98718e-05,0.000682303,0,0,0,0,0,0,0.000906393,0.103384,0.399971,0,0,0.00547878,0,0.32449,0,0,0,0,0,0,0.0965568,0.828019,
0.287362,0,0.98277,1.00225,0,0,1,0,0,0.342793,0,1,1,1,0,0,0.0379869,0.378119,0.429517,0.196634,0.196634,0,0.218932,0.283015,0,0,0,3.12346e-05,0,0,0,0,0,0,4.74942e-05,0.104,0.399598,0,0,0.00269099,0,0.324736,0,0,0,0,0,0,0.103411,0.836527,
