EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawFwd,JawLeft,JawOpen,JawChew,JawRight,MouthLeft,MouthRight,MouthFrown_L,MouthFrown_R,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,LipsUpperClose,LipsLowerClose,LipsUpperUp,LipsLowerDown,LipsUpperOpen,LipsLowerOpen,LipsFunnel,LipsPucker,ChinLowerRaise,ChinUpperRaise,Sneer,Puff,CheekSquint_L,
0.0353713,0.0726869,0,0,0.639843,0.637757,0,0.555759,0,0,0.364498,0,6.03375e-06,0,0.547177,0.612425,0,0,0,0,0.0860326,0.0441348,0.351032,0,0.0467697,0,0.000248367,0,0,0.000143254,0,0.0167741,0,0.0594922,0.206379,0.0938405,8.26835e-05,0.000395045,0.000293302,0.0128858,0,0.17453,0.169505,0,0.167831,0,0,
0.0419631,0.0787548,0,0,0.631621,0.629633,0,0.557714,0,0,0.364324,0,1.88211e-05,0,0.53947,0.606057,0,0,0,0,0.0944509,0.0774768,0.345388,0,0.0461023,0,0.000729078,0,0,0.000382819,0,0.0310274,0.000133465,0.0459732,0.190921,0.0632495,4.3328e-06,2.0701e-05,0.00086474,0.00366635,0,0.155107,0.162011,0,0.148735,0,0,
0.0492624,0.0855885,0,0,0.633063,0.631043,0,0.560071,0,0,0.365776,0,1.532e-05,0,0.540754,0.609547,0,0,0,0,0.106481,0.122859,0.318658,0,0.0469721,0,0.00184161,0,0,0.000166387,6.67803e-06,0.0473779,0.00301056,0.0290371,0.165202,0.039035,0,0,0.00053985,0.000485535,0,0.131091,0.128835,0,0.113174,0,0,
0.0550172,0.093288,0,0,0.635527,0.633458,0,0.562692,0,0,0.36825,0,1.14207e-05,0,0.546548,0.618705,0,0,0,0,0.121119,0.171827,0.282491,0,0.0555168,0,0.0108196,0,0,0.000552223,0.000127438,0.067594,0.0167258,0.0156141,0.145621,0.0247244,0,0,0.000109215,1.88369e-05,0,0.116182,0.0858944,0,0.0771911,0,0,
0.0574181,0.099949,0,0,0.638042,0.635946,0,0.566248,0,0,0.370712,0,2.23536e-05,0,0.555017,0.630624,0,0,0,0,0.136947,0.222298,0.245703,0,0.0738103,0,0.0368685,0,0,0.00333438,0.000340554,0.0886955,0.046752,0.00668209,0.135857,0.0172161,0,0,4.93127e-06,0,0,0.109709,0.0461779,0,0.0482393,0,0,
0.0578816,0.105277,0,0,0.641122,0.639051,0,0.567941,0,0,0.371562,0,3.78688e-05,0,0.564684,0.641032,0,0,0,0,0.150535,0.271608,0.215212,0,0.0950377,0,0.0801663,0,0,0.00940131,0.000188959,0.103525,0.0895004,0.00169774,0.134421,0.0135209,0,0,0,0,0,0.108613,0.0176918,0,0.0291418,0,0,
0.0566451,0.109124,0,0,0.645478,0.643519,0,0.565791,0,0,0.369126,0,6.7024e-05,0,0.571261,0.642456,0,0,0,0,0.156483,0.309976,0.194858,0,0.106993,0,0.124797,0,0,0.0151669,0.00130252,0.106338,0.130322,0.0036624,0.135124,0.0134167,0,1.73839e-05,0,4.92846e-06,0,0.110485,0.00353535,0,0.0205344,0,0,
0.0531527,0.110092,0,0,0.649403,0.647578,0,0.562096,0,0,0.365583,0,0.000108838,0,0.565785,0.625469,0,0,0,0,0.150897,0.322795,0.185347,0,0.103038,0,0.148625,0,0,0.0158455,0.00567472,0.0954218,0.150509,0.0189356,0.130186,0.0174752,0,0.000335622,2.76946e-05,9.40506e-05,0,0.115935,0.00368119,0,0.0246931,0,0,
0.0481552,0.107105,0,0,0.650713,0.64897,0,0.560993,0,0,0.364748,0,0.000145539,0,0.536152,0.582053,0,0,0,0,0.1343,0.29786,0.18587,0,0.08517,0,0.141756,0,4.21605e-05,0.0106598,0.0116891,0.0723271,0.13949,0.0515981,0.116261,0.0254894,0,0.000960587,0.00058658,0.000251331,2.85334e-05,0.129492,0.0186877,6.458e-06,0.0488799,0,0,
0.0423684,0.101084,0,0,0.648525,0.646736,0,0.566208,0,0,0.369674,0,0.000157798,0,0.477015,0.512882,0,0,0,0,0.114708,0.232187,0.194449,0,0.0632384,0,0.106432,0,0.000908494,0.00426181,0.0191845,0.0441085,0.101643,0.102417,0.104448,0.0325005,2.27569e-05,0.000529595,0.00258338,9.83095e-05,0.000592053,0.154693,0.0482154,0.000153721,0.0994895,0.000128081,7.90154e-05,
0.0323556,0.0906736,0,0,0.64315,0.64123,0,0.576401,0.00017967,0,0.378632,0,0.000163888,0,0.392123,0.428217,3.65141e-05,0,0,0,0.102044,0.143649,0.20878,0,0.0480848,0,0.0590914,0,0.00423338,0.000789044,0.0270353,0.0195806,0.0550826,0.16424,0.110417,0.0348078,0.00043428,9.14204e-05,0.00468172,8.62018e-05,0.0023626,0.194621,0.0834132,0.00091106,0.176455,0.00272402,0.00170853,
0.0165018,0.0746834,0,0,0.637252,0.635238,0,0.586843,0.00369364,0,0.385943,0,0.000199936,0,0.303652,0.351456,0.000717656,0,0,0,0.0996007,0.0693836,0.223577,0,0.0443531,0,0.0220497,0,0.00804321,3.51009e-05,0.0331981,0.00505615,0.0199059,0.220137,0.136296,0.0343641,0.00117623,0.000189373,0.0043281,0.000217186,0.0030044,0.239239,0.109098,0.0016806,0.258832,0.0120323,0.00811102,
0.00364419,0.0595925,0,0,0.635311,0.633261,0,0.593682,0.0144025,0,0.389455,0,0.000260604,0,0.248832,0.311142,0.00225995,0,0,0,0.101391,0.0427485,0.229426,0,0.0446435,0,0.00415195,0,0.00822343,0,0.0348968,0.00170383,0.0037619,0.249559,0.159683,0.0351052,0.000732152,0.00393038,0.00142968,9.93462e-05,0.00179904,0.262207,0.111609,0.000639164,0.300119,0.0191377,0.0165288,
0.000376604,0.0535283,0,0,0.638516,0.636407,0,0.596191,0.0198414,0,0.391694,0,0.00029161,0,0.247665,0.319392,0.00175908,0,0,0,0.0982454,0.0741022,0.217688,0,0.0418118,0,0.00164972,0,0.0051781,0,0.0302189,0.00467629,0.00398926,0.240957,0.1515,0.0408671,0.00081877,0.0174379,0.00054709,0.000366326,0.00595178,0.246788,0.086146,0.000166781,0.278795,0.0117174,0.0197976,
