EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.275863,0,0.0167544,1.00621,0,0,0.458307,0,0,0.656148,0,0.443404,0.395782,0.396222,0.00366381,0,0.000455579,0.0165556,0.480935,0.269609,0.269609,0,0.396428,0.241149,0,0,0,0,0,0.128268,0.307234,0,0,0,0.0927993,0,0,0,0,0.264656,0.000321203,0.320036,0.0189311,0,0.0762289,0,0.518303,0,0.0982176,0.0112751,
0.28437,0,0.0105425,1.00596,0,0,0.462102,0,0,0.627633,0,0.447207,0.395656,0.3961,0.00974102,0,0.00147635,0.00453078,0.472321,0.278563,0.278563,0,0.404169,0.228163,0,0,0,0,0,0.137026,0.317505,0,0,0,0.0833408,0,0,0,0,0.261594,0.00607884,0.310147,0.0111594,0,0.0867217,0.000217785,0.538238,0,0.11243,0.0102515,
0.296327,0,0.00637322,1.00514,0,0,0.465097,0,0,0.568266,0,0.45021,0.395309,0.395755,0.00362358,0,0.00357481,0.00784207,0.442752,0.311439,0.311439,0,0.420571,0.232715,0,0,0,0,0,0.169048,0.319755,0,0,0,0.0534182,0,0,0,0,0.262345,0.0165225,0.297893,0.00282576,0,0.121764,0.00422281,0.56701,9.5521e-06,0.129099,0.00408653,
0.29878,0,0.0144336,1.00455,0,0,0.465669,0,0,0.507002,0,0.450782,0.397573,0.398022,0.000189702,0,0.00133387,0.0273677,0.422848,0.300285,0.300285,0,0.443448,0.245362,0,0,0,0,0,0.170229,0.313397,0,0,0,0.0282262,0,0,0,0,0.276542,0.00607884,0.308095,0.000194313,0,0.140124,0.0123721,0.58274,0.000182285,0.129534,0.000907205,
0.292844,0,0.0299769,1.00428,0,0,0.464244,0,0,0.464084,0,0.449355,0.40097,0.401422,0,0,6.9889e-05,0.0496953,0.412007,0.276664,0.276664,0,0.468973,0.250001,0,0,0,0,0,0.152016,0.291283,0,0,0,0.00687375,0,0,0,0.00010401,0.291083,0.00033038,0.338661,0.00108266,0,0.144516,0.00730828,0.568177,0.000576805,0.126226,0.00447334,
0.288765,0,0.0404569,1.00407,0,0,0.463961,0,0,0.439956,0,0.449071,0.402817,0.40327,0,0,0,0.0457381,0.41252,0.268571,0.268571,0,0.482718,0.244769,0,0,0,0,0,0.141715,0.274374,0,0,0,0.000332636,0,0,0,0.00206974,0.29688,0.000705476,0.349805,0.0028947,0,0.146325,0.00139014,0.567872,0.00245593,0.115725,0.0177928,
0.291311,0,0.041315,1.00396,0,0,0.463455,0,0,0.434984,0,0.448564,0.404128,0.404583,0,0,0,0.0565422,0.409322,0.282989,0.282989,0,0.491748,0.247008,0,0,0,0,0,0.160319,0.271228,0,0,0,0,0,0,0,0.00704073,0.302737,0.0101745,0.342302,0.00108266,0,0.170504,6.14223e-05,0.569747,0.0162541,0.119337,0.0262618,
0.297294,0,0.0314994,1.00415,0,0,0.462807,0,0,0.43749,0,0.447915,0.405374,0.405829,0,0,2.10701e-05,0.069408,0.408348,0.304944,0.304944,0,0.502307,0.260256,0,0,0,0,0,0.196857,0.275012,0,0,0,0,0,0,0,0.00863643,0.307452,0.0374219,0.347809,5.67288e-05,0,0.203378,0,0.562621,0.0467219,0.132134,0.0219502,
0.300209,0,0.0174597,1.00423,0,0,0.462231,0,0,0.426482,0,0.447337,0.404942,0.405396,0,0,0.000402088,0.0715931,0.405327,0.299133,0.299133,0,0.515356,0.273125,0,0,0,0,0,0.222714,0.26825,0,0,0,0,0,0,0,0.0100613,0.313558,0.0480905,0.368677,0,0,0.22664,0,0.542388,0.0626794,0.139047,0.0153593,
0.298699,0,0.0082227,1.00389,0,0,0.461742,0,0,0.410685,0,0.446846,0.401393,0.401843,0.000160094,0,0.00107457,0.0649036,0.395535,0.295476,0.295476,0,0.52553,0.275678,0,0,0,0,0,0.238548,0.247799,0,0,0,0,0,0,0,0.0115172,0.309298,0.0323215,0.388308,0,0,0.247161,0.000104242,0.509789,0.0634227,0.141629,0.0148122,
