EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.175679,0,0.619113,1.00443,0,0,1,0,0,0.246484,0,1,0.2171,0.217668,0,0,0.000657927,0.301301,0.461789,0.138802,0.126825,0,0.182009,0.155857,0.00013028,0.0093732,0.00198041,0.00924282,0,0,0.0100527,0.0690348,0,0,0.0106004,0.00504373,0.0816743,0.016903,0.00623964,0.144491,0,0.0971821,0,0,0.0139099,0.098385,0.218696,0.0650897,0.103707,0.0267544,
0.15699,0,0.671429,1.00459,0,0,1,0,0,0.258675,0,1,0.217605,0.218175,0,0,0.00434936,0.307182,0.472294,0.116096,0.109544,0,0.177009,0.136256,0,0.006448,0.00776391,0.00561105,0,0,0.000460734,0.0206834,0,0,0.0135308,0.00116608,0.110252,0.00391587,0.000592611,0.127532,0,0.117769,0,0,0.00104091,0.100956,0.189287,0.0437627,0.106013,0.0383568,
0.140062,0,0.707689,1.00472,0,0,1,0,0,0.263342,0,1,0.217409,0.217979,0,0,0.00937194,0.302618,0.477234,0.103646,0.100139,0,0.170921,0.116007,0,0.00732253,0.0200583,0.00137456,0,0,0,0.0030428,0,0,0.0178593,0.00303124,0.133762,0.000185815,1.72038e-05,0.110983,0,0.134632,0,0,2.27501e-05,0.098988,0.15392,0.0298366,0.0994477,0.0521098,
0.13704,0,0.727975,1.00492,0,0,1,0,0,0.267663,0,1,0.216628,0.217197,0,0,0.00571623,0.295076,0.480964,0.100278,0.0993801,0,0.167344,0.0951521,0,0.00880183,0.0271549,6.62266e-05,0,0,0,0.000124661,0,0,0.0204624,0.00974652,0.151482,0,0,0.0916261,0,0.149455,0,0,0,0.0954461,0.127582,0.0145145,0.0845439,0.0613739,
0.14041,0,0.738453,1.00465,0,0,1,0,0,0.267691,0,1,0.215871,0.216439,0,0,0.00448965,0.291535,0.483567,0.0993792,0.0993353,0,0.163009,0.0791467,0,0.00690481,0.0258965,0,0,0,0,0,0,0,0.0197463,0.00929517,0.172537,0,0,0.075381,0,0.162229,0,0,0,0.087906,0.12428,0.00308945,0.0795527,0.0576099,
0.145967,0,0.742015,1.00466,0,0,1,0,0,0.26524,0,1,0.214915,0.215482,0,0,0.00997185,0.288534,0.48363,0.0978079,0.0978068,0,0.158111,0.0690335,0,0.00191378,0.0190149,0,0,0,0,0,0,0,0.0106025,0.00628215,0.190232,0,0,0.0665928,0,0.176877,0,0,0,0.0759941,0.123542,0.000143529,0.0839104,0.0560442,
0.153888,0,0.740797,1.00471,0,0,1,0,0,0.270566,0,1,0.214058,0.214624,0,0,0.00610992,0.288886,0.483108,0.0954349,0.0954127,0,0.151447,0.0603652,0,0.000102785,0.019211,1.83739e-05,0,0,0.000142144,1.45493e-05,0,0,0.0133065,0.00550316,0.199832,0,8.25598e-05,0.0588685,0,0.184377,0,0,0,0.0643919,0.116949,0,0.0776275,0.0652643,
0.158769,0,0.739839,1.00443,0,0,1,0,0,0.275897,0,1,0.213858,0.214423,0,0,0.00151041,0.295564,0.485922,0.0927168,0.0926273,0,0.148013,0.0495254,0,4.9677e-07,0.0285504,0.00036864,0,0,0.00358905,0.00094933,3.75934e-05,0,0.0242279,0.00601734,0.200252,0,0.00188336,0.0538295,0,0.181599,0,0,0,0.0509074,0.107831,0,0.0640815,0.0702868,
0.161281,0,0.740782,1.00428,0,0,1,0,0,0.276104,0,1,0.214297,0.214863,0,0,0.000219663,0.300198,0.490366,0.0910645,0.0904675,0,0.145622,0.0325192,0,3.11143e-05,0.0377895,0.00128064,0,0,0.0263364,0.0149958,0.000781079,0,0.0204186,0.00616783,0.176759,0,0.0106125,0.0599538,0,0.174984,0,0,6.86555e-05,0.0272456,0.100817,0,0.0488452,0.0721523,
0.167083,0,0.742421,1.00425,0,0,1,0,0,0.274943,0,1,0.214605,0.215172,0,0,0.000744336,0.299295,0.489029,0.0905809,0.0888958,0,0.146721,0.0137977,0,0.000786447,0.0391046,0.00126886,0,0,0.0920746,0.0698878,0.00322226,0,0.00561833,0.00193077,0.124711,0,0.0273265,0.0898539,0,0.158669,0,0,0.00136207,0.00625302,0.0988929,0,0.0316153,0.0736217,
