EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.220844,0,0.759072,1.00597,0,0,0.209627,0,0,0.370213,0,0.195038,0.91913,0.919567,0,0,0.00464741,0.225681,0.340012,0.194774,0.194774,0,0.148064,0.216583,0,0,0,2.48717e-05,0,6.42665e-05,0,0,0,0,0,0,0.24197,0,0.000269512,0.0124293,0,0.447301,0,0,0,0,0.171323,0,0.00786673,0.0107554,
0.223776,0,0.758104,1.00603,0,0,0.21051,0,0,0.360961,0,0.195922,0.919053,0.919492,0,0,0.00382201,0.218669,0.341029,0.20112,0.20112,0,0.154216,0.213503,0,0,0,5.2397e-05,0,0.000985662,0,0,0,0,1.62432e-05,0,0.24459,0,0.00426913,0.0113448,0,0.446407,0,0,0,0,0.172453,9.95818e-07,0.00565011,0.00790182,
0.237263,0,0.741461,1.00594,0,0,0.209625,0,0,0.35861,0,0.195036,0.919307,0.919744,0,0,0.00110472,0.18549,0.347693,0.209801,0.209801,0,0.155065,0.21601,0,0,0,1.93925e-05,0,0.00291057,0,0,0,0,0.000306574,0,0.247755,0,0.0147718,0.01043,0,0.44794,0,0,0,0,0.19578,1.87949e-05,0.011574,0.0130986,
0.250022,0,0.712638,1.00577,0,0,0.211362,0,0,0.370854,0,0.196775,0.922042,0.922484,0,0,7.11486e-05,0.194991,0.357031,0.212173,0.212173,0,0.156275,0.221379,0,0,0,1.01621e-06,0,0.00190289,0,0,0,0,0.000819288,0,0.250185,0,0.0146688,0.0147226,0,0.451695,0,0,0,0,0.203294,5.02254e-05,0.0166497,0.0150318,
0.254672,0,0.670004,1.00584,0,0,0.214428,0,0,0.385902,0,0.199844,0.925105,0.925555,0.000326528,0,0.000303472,0.201066,0.363219,0.209031,0.209031,0,0.168754,0.23218,0,0,0,0,0,0.000404251,0,0,0,0,0.000306574,0,0.256633,0,0.00416507,0.0276904,0,0.461517,0,0,0,0,0.202794,1.87949e-05,0.032054,0.00729782,
0.275276,0,0.566179,1.00588,0,0,0.213929,0,0,0.38723,0,0.199344,0.928617,0.929068,0.00624915,0,0.000810998,0.183465,0.374804,0.213042,0.213042,0,0.19015,0.247241,0,0,0,0,0,0.000288206,0,0,0,0,1.6065e-05,0,0.268477,0,0.000206984,0.0410134,0,0.47206,0,0,0,0,0.225221,8.6461e-05,0.0605897,0.00137784,
0.355617,0,0.203278,1.00587,0,0,0.205343,0,0,0.382309,0,0.19075,0.934685,0.93512,0.0170022,0,0.000380998,0.0490311,0.381436,0.236841,0.236831,0,0.215122,0.272373,0,0,0,4.86237e-05,0,0.00536912,0,0,0,0,0,0,0.294895,0,0,0.0502517,0,0.480325,0,0,0,0,0.364564,0.00163147,0.0949682,6.12169e-05,
0.360335,0,0.225044,1.00592,0,0,0.203948,0,0,0.374962,0,0.189354,0.937275,0.937709,0.00624915,0,0.00153664,0.094629,0.383023,0.248482,0.248303,0,0.243785,0.304478,0,0,0,0.00101854,0,0.0180162,0,0,0,0,0,2.18026e-05,0.32101,0,0,0.0628162,0,0.481678,0,2.18141e-05,0,0,0.422289,0.00454491,0.103643,0,
0.331278,0,0.28315,1.00572,0,0,0.210657,0,0,0.343747,0,0.196069,0.937223,0.937671,0.000326528,0,0.00474181,0.146847,0.36354,0.237574,0.237086,0,0.268716,0.325136,0,0,0,0.00430688,0,0.0162859,0,0,0,0,0,0.000416068,0.338075,0,8.57094e-05,0.0689615,0,0.482052,0,0.000416288,0,0,0.419674,0.00535844,0.0952312,0.000240132,
0.301143,0,0.354775,1.00485,0,0,0.219738,0,0,0.294736,0,0.205159,0.939001,0.93947,0,0,0.00357676,0.168334,0.326234,0.225855,0.225675,0,0.278298,0.331099,0,0,0,0.00746371,0,0.00478946,0,0,0,0,0,0.0011306,0.346683,0,0.00164507,0.0630006,0,0.482856,0,0.00111253,0,0,0.36158,0.0156929,0.0959392,0.00468795,
