EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.165397,0,0.65926,1.00228,0,0,0.540737,0,0,0.24787,0,0.526378,0.580255,0.581001,0,0,0.0175022,0.41434,0.501648,0.128628,0.128628,0,0.183767,0.138083,0,0,0,0,0,0,0,0,0,0,0,0,0.3326,0,0,0.0582032,0,0.15822,0,0,0.212531,0.337046,3.22794e-05,0.0370585,0.14149,0.509981,
0.167783,0,0.658567,1.00221,0,0,0.544635,0,0,0.267456,0,0.530285,0.578185,0.578934,0,0,0.0205305,0.418139,0.504565,0.124241,0.124241,0,0.17208,0.152859,0,0,0,0,0,0,0,0,0,0,0,0,0.347847,0,0,0.0588856,0,0.161282,0,0,0.208793,0.343315,0.000677738,0.0267207,0.163939,0.512526,
0.174388,0,0.645765,1.00218,0,0,0.548555,0,0,0.273048,0,0.534216,0.577192,0.577945,0,0,0.00928428,0.398061,0.507553,0.123265,0.123265,0,0.166322,0.162463,0,0,0,0,0,0,0,0,0,0,0,0,0.357041,0,0,0.0643064,0,0.157203,0,0,0.203942,0.344672,0.00294078,0.00864746,0.176366,0.515659,
0.180987,0,0.617264,1.00212,0,0,0.551202,0,0,0.251516,0,0.536869,0.576299,0.577054,0,0,0.00861162,0.386619,0.510414,0.128968,0.128968,0,0.17113,0.169711,0,0,2.8479e-05,0,0,0,0,0,0,0,0,0,0.357753,0,0,0.0747421,0,0.156974,0,0,0.19983,0.332852,0.00419828,0.00102254,0.182594,0.519701,
0.193136,0,0.58235,1.00198,0,0,0.55275,0,0,0.219045,0,0.538422,0.576857,0.577615,0,0,0.00312451,0.373961,0.501988,0.138759,0.1387,0,0.178806,0.177189,0,0,0.000630941,0,0,0,0.000275148,0.000183893,0,0,0,0,0.350904,0,0.000111888,0.0782442,0,0.162191,0,0,0.192623,0.308398,0.00159056,0.000563793,0.178341,0.518236,
0.212787,0,0.552375,1.00192,0,0,0.553946,0,0,0.18636,0,0.539621,0.585961,0.586732,0,0,0.000832143,0.37958,0.488029,0.139713,0.138596,0,0.183035,0.17414,0,0,0.0031333,0,0,0,0.0058688,0.00445616,0,0,0,0,0.325637,0,0.00233089,0.0761447,0,0.167843,0,0,0.176032,0.288165,0.000224933,0.00141469,0.156465,0.513371,
0.245024,0,0.520331,1.00183,0,0,0.555989,0,0,0.141057,0,0.541669,0.6108,0.611607,0,0,0.00243815,0.383568,0.467927,0.136223,0.133215,0,0.180631,0.157521,0,1.75562e-05,0.00521266,0,0,0,0.0267408,0.0302896,0,0,0,0,0.256585,0,0.00966516,0.0780262,0,0.167556,0,7.2461e-05,0.157805,0.254524,0.00119435,0.000529327,0.119842,0.507509,
0.273345,0,0.487997,1.00174,0,0,0.559076,0,0,0.0822731,0,0.544764,0.632505,0.633346,0,0,0.00344143,0.367159,0.451501,0.13106,0.12989,0,0.175377,0.135051,0,0.000335031,0.00224293,0,0,0,0.0473977,0.100938,0,0,0,0,0.131615,0,0.0165344,0.0808565,0,0.166799,0,0.00154008,0.14383,0.210717,0.00321512,2.77374e-05,0.0703174,0.505856,
0.288788,0,0.466215,1.00171,0,0,0.560054,0,0,0.0365318,0,0.545744,0.637923,0.638773,0,0,0.00572019,0.355672,0.444345,0.130704,0.130598,0,0.172004,0.109416,0.000199139,0.000910914,0.000291337,0,0,0,0.0449627,0.183085,0,0,0,0,0.0231621,0,0.0223009,0.0811419,0,0.16971,0,0.00700729,0.146565,0.17665,0.00188671,0,0.0222574,0.512704,
0.297174,4.65018e-06,0.455601,1.00167,0,0,0.559756,0,0,0.012819,0,0.545446,0.637338,0.638186,0,0,0.00863354,0.354844,0.449056,0.127374,0.126853,0,0.175424,0.0854597,0.00380422,0.000632147,1.06839e-05,4.99722e-05,0,0,0.0386732,0.249885,0,0,0,0,0.0010966,0,0.0347614,0.0766459,0,0.166309,0,0.0155991,0.164885,0.162615,0.00262314,0,0.00321362,0.525451,
