EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.111976,0,1.0002,1.0045,0,0,0.424038,0,0,0.544865,0,0.299224,1,1,0,0,0.00447677,0.311159,0.405329,0.16476,0.16476,7.56302e-06,0.00230971,0.41076,0,0,0.0950632,0.0715013,0,0,0,0,0,0,0.0024867,0.256098,0.124342,0,0,0.00133798,0,0.216958,0,0,0,0,0,0.000247751,0.19088,0.506493,
0.119465,0,1.0001,1.00461,0,0,0.421758,0,0,0.536061,0,0.296914,1,1,0,0,0.000478029,0.305078,0.400792,0.1763,0.1763,0,0.00154134,0.403857,0,0,0.0945658,0.0650906,0,0,0,0,0,0,0.0070852,0.248439,0.128571,0,0,0.00338597,0,0.217042,0,0,0,0,0,0.000590841,0.165863,0.499475,
0.116838,0,1.0001,1.00466,0,0,0.419286,0,0,0.532793,0,0.294412,1,1,0,0,1.58895e-05,0.30166,0.399804,0.18186,0.18186,0,0.00454469,0.39675,0,0,0.0911243,0.0558184,0,0,0,0,0,0,0.0140106,0.238614,0.135373,0,0,0.0073121,0,0.211315,0,0,0,0,0,0.000221095,0.144407,0.490617,
0.112664,0,1.00017,1.00448,0,0,0.416601,0,0,0.533283,0,0.291692,1,1,0,0,3.07989e-05,0.299682,0.402381,0.186121,0.186121,0,0.010443,0.391419,0,0,0.0904506,0.0521787,0,0,0,0,0,0,0.015725,0.239766,0.141505,0,0,0.00666816,0,0.211437,0,0,0,0,0,1.15858e-05,0.133562,0.479824,
0.109583,0,1.00027,1.00433,0,0,0.413892,0,0,0.537032,0,0.288944,1,1,0,0,0.000535001,0.303367,0.402158,0.188129,0.188129,0,0.0143434,0.385545,0,0,0.0907189,0.0521519,0,0,0,0,0,0,0.019121,0.241354,0.148252,0,0,0.00187922,0,0.212371,0,0,0,0,0,0,0.12695,0.472508,
0.103798,0,1.00042,1.00429,0,0,0.41248,0,0,0.54331,0,0.287507,1,1,0,0,0.00278472,0.3109,0.404404,0.185988,0.185988,0,0.0190036,0.376696,0,0,0.0889144,0.0512744,0,0,0,0,0,0,0.0231907,0.234725,0.154683,3.65315e-05,0,9.33074e-05,0,0.212924,0,0,0,0,0,0,0.119074,0.469248,
0.099878,0,1.00052,1.00415,0,0,0.412036,0,0,0.553183,0,0.287047,1,1,0,0,0.00687377,0.322633,0.404753,0.181444,0.181444,0,0.02743,0.370318,0,0,0.0836068,0.0474056,0,0,0,0,0,0,0.0231971,0.221875,0.15822,0.000707132,0,0,0,0.214418,0,0,0,0,0,0,0.11631,0.467248,
0.100545,0,1.00056,1.0043,0,0,0.412742,0,0,0.562313,0,0.287746,1,1,0,0,0.0101703,0.334747,0.402091,0.176864,0.176864,0,0.0364366,0.361951,0,0,0.0735827,0.0428313,0,0,0,0,0,0,0.0229761,0.211346,0.160182,0.00205367,0,0,0,0.212155,0,0,0,0,0,0,0.117005,0.466632,
0.101597,0,1.00065,1.00437,0,0,0.413026,0,0,0.56885,0,0.288016,1,1,0,0,0.0130742,0.343521,0.39811,0.174185,0.174185,0,0.0372654,0.353119,0,0,0.0659401,0.0453982,0,0,0,0,0,0,0.0255662,0.202309,0.164257,0.00120571,0,0,0,0.216966,0,0,0,0,1.67775e-05,0,0.122893,0.469425,
0.102263,0,1.00077,1.00441,0,0,0.412614,0,0,0.573324,0,0.287581,1,1,0,0,0.0172399,0.346962,0.399024,0.171168,0.171168,0,0.0346738,0.347861,0,0,0.0577682,0.0438615,0,0,0,0,0,0,0.0243888,0.186231,0.166516,0.000298603,0,0,0,0.225738,0,0,0,0,0.000320169,0,0.139016,0.472745,
0.104542,0,1.00084,1.00434,0,0,0.413473,0,0,0.561783,0,0.28842,0.999654,0.999764,0,0,0.0131414,0.349641,0.396309,0.166842,0.166842,0,0.0320114,0.347282,0,0,0.0521955,0.0398206,0,0,0,0,0,0,0.0186744,0.173408,0.166616,0.00155982,0,0,0,0.23341,0,0,0,0,0.000855624,0,0.155582,0.475569,
0.108357,0,1.00086,1.00401,0,0,0.437683,0,0,0.518308,0,0.312671,0.992232,0.994397,0,0,0.0129906,0.347968,0.389993,0.164426,0.164421,0,0.0316813,0.350638,0,0,0.047432,0.0316387,0,0,0,0,0,0,0.011817,0.170259,0.169909,0.00728796,0,0,0,0.233723,0,0,0,0,0.000320169,0,0.160716,0.476662,
0.116893,0,1.00072,1.00339,0,0,0.57537,0,0,0.448904,0,0.45187,0.954442,0.962907,0,0,0.0112424,0.353984,0.382407,0.162643,0.162538,1.52733e-06,0.0267278,0.353853,0,0,0.0426101,0.0192074,0,0,0,0,0,0,0.0030978,0.176809,0.177984,0.0142073,0,0,0,0.225699,0,0,0,0,1.67775e-05,1.40522e-05,0.163209,0.478345,
