EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.00773983,0,0.780916,1.00324,0,0,0.37991,0,0.00317776,0.843709,0,0.24821,0.821285,0.82683,0,0,0.0634565,0.317259,0.361031,0.256165,0.256165,0,0.129883,0.597088,0,0,0,0,0,0.125484,0,0,0,0,0,0,0.20843,0.0131147,0,4.03587e-05,0,0.228501,0,0,0,0,0,0,0.210292,0.59668,
0.000806698,0,0.796558,1.00353,0,0,0.378047,0,0.0125995,0.861032,0,0.246324,0.822328,0.827846,0,0,0.0729601,0.318753,0.372064,0.250447,0.250447,0,0.136537,0.583368,0,0,0,0,0,0.117625,0,0,0,0,0,0,0.208887,0.0129505,0,0.0007943,0,0.232591,0,0,0,0,0,0,0.204382,0.602106,
2.48156e-05,0,0.802414,1.00378,0,0,0.377299,0,0.0187118,0.866922,0,0.245571,0.822347,0.827852,0,0,0.0770366,0.318449,0.376212,0.247917,0.247917,0,0.148228,0.574477,0,0,0,0,0,0.117366,0,0,0,0,0,0,0.205715,0.00908935,0,0.00265719,1.96313e-05,0.236046,0,0,1.95405e-05,0,0,0,0.202359,0.604242,
0,0,0.797895,1.00374,0,0,0.376877,0,0.0144028,0.863242,0,0.245147,0.819801,0.825282,0,0,0.0680749,0.315631,0.373294,0.25047,0.25047,0,0.161766,0.56978,0,0,0,0,0,0.135065,0,0,0,0,0,0,0.197539,0.00300665,0,0.00242169,0.000374632,0.225739,0,0,0.000372899,2.18778e-05,0,0,0.204577,0.607766,
0,0,0.792178,1.00393,0,0,0.377023,0,0.00644895,0.858806,0,0.2453,0.813616,0.819057,0,0,0.0565641,0.304714,0.362146,0.251427,0.251427,0,0.170578,0.568827,0.000185218,0.00022072,0,0,0,0.164612,0.000189875,0,0,0,0,0,0.187657,0.000378322,0,0.000916152,0.00100119,0.200096,0,0,0.00104591,0.000858298,3.44568e-05,0,0.215315,0.60762,
0.000270338,0,0.800319,1.00407,0,0,0.377225,0,0.00518858,0.843556,0,0.245506,0.811174,0.816603,0,0,0.0506209,0.297168,0.347443,0.226653,0.226653,0,0.178451,0.564905,0.0041475,0.00500902,0,0,0,0.167801,0.00421385,0.000470309,0,0,0,0,0.178613,1.39497e-05,0,0.00549006,0.000374632,0.175442,0,0,0.00139998,0.0105932,0.00114587,0.000199869,0.205708,0.611584,
0.00630904,0,0.829572,1.00435,0,0,0.376345,0,0.00403975,0.793309,0,0.244591,0.811101,0.816515,0.000612413,0,0.0340935,0.271745,0.319636,0.168694,0.168694,0,0.196238,0.54611,0.0223963,0.028667,0,0,0,0.158235,0.0221584,0.00997072,0,0,0,0,0.163297,0,0,0.0256171,1.96313e-05,0.114383,0,0,0.00432106,0.0466003,0.0116254,0.00476693,0.15052,0.628597,
0.040738,0,0.860774,1.00492,0,0,0.370793,0,0.00108814,0.726614,0,0.238903,0.818764,0.824131,0.0126474,0,0.00861343,0.205491,0.265773,0.0918156,0.0918156,0,0.213451,0.501068,0.0537195,0.079392,0,0,0,0.132839,0.0533468,0.0465559,0,0,7.12051e-05,0,0.131056,0,0,0.0569523,1.87627e-05,0.0523099,3.53942e-05,0,0.00934292,0.10376,0.0462112,0.0307655,0.0613148,0.653546,
0.136521,0,0.883639,1.00552,0,0,0.358053,0,5.35035e-05,0.649103,0,0.225929,0.827983,0.833183,0.0511257,0,0.000418952,0.0252932,0.236225,0.0367865,0.0365516,0,0.222614,0.429147,0.0605603,0.117532,0,0,4.83391e-05,0.122028,0.0823643,0.100863,1.05482e-05,0,0.001359,0,0.0803283,0,0.000168241,0.0867208,0.000358054,0.0162733,0.000675455,0,0.0329204,0.144622,0.40689,0.103498,0.0117746,0.65964,
0.218724,0,0.911335,1.00545,0,0,0.353677,0,0,0.565333,0,0.221471,0.818802,0.823868,0.0654079,0,0,0.00135162,0.201036,0.0270027,0.0224801,0,0.222391,0.327388,0.0294064,0.110131,0,0,0.00100906,0.173767,0.113534,0.167596,0.000201293,0,0.00363466,0,0.0177656,0,0.00333096,0.101476,0.000956879,0.00263012,0.00180538,0,0.105752,0.157812,0.786908,0.365457,0.000787242,0.648047,
0.245968,0,0.949586,1.00516,0,0,0.354411,0,0,0.480791,0,0.222206,0.811106,0.816139,0.0351747,0,0,0.00464895,0.174194,0.0219272,0.00713945,0,0.236104,0.245689,0.0524634,0.139602,0,0,0.00411874,0.184227,0.14904,0.225294,0.000537923,0,0.001359,0,0.000849281,0,0.0109275,0.130696,0.000358054,0.000374988,0.000675455,0,0.141478,0.21836,0.974697,0.557597,0.00497861,0.633705,
0.251183,0,0.980961,1.00477,0,0,0.359114,0,0,0.372623,0,0.226969,0.808621,0.813721,0.00769391,0,0,0.0198532,0.162658,0.0145701,0.00252613,0,0.254633,0.179374,0.0798524,0.153545,0,0,0.00534065,0.163282,0.173563,0.247554,0.000201293,0,7.12051e-05,0,0,0,0.0102728,0.147817,7.12266e-05,0.00505194,0.000219874,0,0.145174,0.257953,0.997903,0.664284,0.0204679,0.633458,
0.255961,0,0.996777,1.00399,0,0,0.365965,0,0,0.216483,0,0.2339,0.805743,0.810944,0.00794907,0,0,0.0272321,0.121572,0.0102942,0.00688606,0,0.25976,0.130324,0.077118,0.129405,0,0.000122921,0.00185207,0.148326,0.178497,0.248674,1.05482e-05,0,0,0,0,0,0.00576888,0.133769,0.00100125,0.014317,0.00352361,0,0.144784,0.260409,0.998379,0.744182,0.0267993,0.643873,
0.264535,0,1.00044,1.00341,0,0,0.369539,0,0,0.0765095,0,0.2375,0.801666,0.806905,0.029282,0,0,0.0085846,0.0658515,0.0195679,0.0127319,0,0.250196,0.104187,0.0402679,0.0697772,0,0.00251277,0.00323234,0.174212,0.167883,0.248174,0,0,0,0,4.00978e-05,0,0.0134253,0.104287,0.00267683,0.0100954,0.00946917,0,0.155974,0.240643,0.999401,0.845572,0.0115794,0.651084,
0.271288,0,1.00061,1.00331,0,0,0.3696,0,0,0.0412849,0,0.237543,0.800514,0.805746,0.0404612,0,0,0.000435922,0.0425569,0.0273194,0.00447996,0,0.24943,0.0993961,0.0498659,0.0726539,2.53791e-06,0.00966762,0.0125993,0.18881,0.160599,0.255366,0,0,0,0,0.000848425,0,0.0534159,0.104143,0.00100125,0.0110633,0.00352361,0,0.139273,0.265217,0.999969,0.924062,0.0134685,0.651708,
0.278332,0.000430082,1.00057,1.00329,0,0,0.367068,0,0,0.0271238,0,0.234962,0.801258,0.806451,0.0434178,0.00102828,0,0,0.047283,0.0263129,0.000232387,0,0.250564,0.0986375,0.0606792,0.0849736,4.84313e-05,0.0150091,0.0193037,0.187201,0.153163,0.258536,0,0,0,0,0.00380238,0,0.0947468,0.115192,5.24638e-05,0.00723075,0.000184478,0,0.0968225,0.292092,1,0.957339,0.0205517,0.651996,
0.291694,0.00904602,1.00045,1.00316,0,0,0.363446,0,0,0.00913931,0,0.23127,0.802139,0.807276,0.0659591,0.0215454,0,0,0.0469299,0.0241546,0.000200914,0,0.247643,0.0995475,0.0593883,0.0867871,0.000129423,0.0188237,0.0194556,0.176258,0.147423,0.251549,0,0,0,0,0.0082254,0,0.125852,0.126998,3.37276e-05,0.00813135,0.000256657,0,0.046631,0.306273,1,0.970176,0.0246334,0.656456,
0.307949,0.0400438,1.00017,1.00287,0,0,0.364206,0,0,0.00115607,0,0.232011,0.799047,0.804178,0.104509,0.0952707,0,0,0.0133398,0.0220687,0.00384121,0,0.239768,0.102583,0.0354373,0.0597737,4.84313e-05,0.0177524,0.0159281,0.174042,0.133904,0.239867,0,0,0,0,0.0102294,0,0.134724,0.12388,0.000643648,0.0100695,0.0051427,0,0.0110038,0.28632,1,0.991681,0.0266391,0.662908,
0.321004,0.0733951,0.999716,1.00244,0,0,0.365925,0,0,4.27186e-05,0,0.233723,0.794043,0.799173,0.144067,0.117913,0,0,0.000664042,0.015818,0.0103823,0,0.223103,0.105163,0.00883361,0.015208,4.8386e-06,0.0054915,0.00505474,0.197454,0.11831,0.23313,9.96101e-05,5.58669e-05,0,0,0.00334667,0,0.111523,0.0965148,0.00172034,0.00325896,0.0177662,0,0.00323301,0.216007,0.999936,0.999515,0.0142361,0.666929,
0.326543,0.0908002,0.999565,1.00222,0,0,0.366251,0,0,0,0,0.234028,0.790695,0.79581,0.15708,0.120361,0,0,0,0.0110965,0.00400689,0,0.212684,0.108259,0.0132886,0.0169275,4.39044e-05,0.00467572,0.00960079,0.206547,0.121833,0.243395,0.00190137,0.0010662,0,0,0.00144382,1.4463e-05,0.088333,0.0691854,0.000643648,0.000166544,0.017064,0,0.00103219,0.176582,0.998784,0.99853,0.00852002,0.667674,
0.322134,0.0974022,0.999918,1.00233,0,0,0.36622,0,0,0,0,0.233973,0.78869,0.793791,0.156226,0.119683,0,0,0,0.0230511,0.000543505,0,0.216707,0.117221,0.0511438,0.0671945,0.000117325,0.0166728,0.0376755,0.194163,0.144368,0.265731,0.0050893,0.00285067,0,0,0.00641049,0.000276001,0.0974103,0.0730016,3.37276e-05,0.000133254,0.00475632,0,5.40851e-05,0.187315,0.996748,0.994263,0.0237028,0.661758,
0.315672,0.100523,1.00013,1.00243,0,0,0.366253,0,0,0,0,0.233986,0.787821,0.792918,0.158863,0.115497,0,0,0,0.0214674,0.000781589,0,0.217268,0.11991,0.0718289,0.0993198,4.39044e-05,0.0235616,0.0562549,0.174447,0.150954,0.274938,0.00190137,0.0010662,0,0,0.0140527,0.00073758,0.115307,0.0777312,0,0.00275981,0.0002354,0,0,0.203823,0.998784,0.992736,0.0414513,0.657626,
0.316479,0.100587,1.00014,1.0023,0,0,0.366222,0,0,0,0,0.233933,0.78752,0.792616,0.155431,0.110548,0,0,0,0.0103429,0.000343871,0,0.211102,0.111313,0.075188,0.111573,9.12712e-06,0.0230389,0.056104,0.142554,0.143296,0.277276,9.96101e-05,5.58669e-05,0.000119958,0,0.0181964,0.000276001,0.123866,0.072283,0,0.0112083,0.000232027,0,0,0.21141,0.999936,0.996924,0.0540233,0.660159,
0.322385,0.0998217,1.0001,1.00231,0,0,0.365826,0,0,0,0,0.233511,0.787086,0.792173,0.160494,0.131543,0,0,0,0.00227529,6.2199e-05,0,0.203061,0.0985426,0.0686775,0.115426,0.00013027,0.0194227,0.049601,0.109874,0.138563,0.277727,0,0,0.00229657,0,0.0195174,1.4463e-05,0.127644,0.0686104,0,0.018776,0.0045228,0,0,0.211774,1,0.999544,0.0573892,0.667284,
0.332462,0.104951,0.998843,1.00228,0,0,0.365389,0,0,0,0,0.233043,0.785367,0.790435,0.184085,0.2171,0,0,0,0.0012867,1.18396e-05,0,0.194742,0.0902011,0.0560966,0.114416,0.000348122,0.0193336,0.0452295,0.0834369,0.138669,0.276211,0,0,0.00625814,0,0.0230759,0,0.132793,0.07304,0,0.0228257,0.0136331,0,0,0.208967,1,0.999982,0.0582311,0.670086,
