EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0,0,0.848495,0.425986,0,0,1,0,0.505261,0.220015,0,0.901726,0.122079,0.124579,0.817004,0.913984,0.0351375,0,0,0.000885208,0.000281599,0.477611,0,0.339569,0.00110018,0.015364,0.00082854,0,0.00220724,0.0490943,0,0.0291553,0,0.0014281,0,0,0,0.00228427,0.430454,0.0795458,0.0533824,0.113233,0,0,0.210208,0.0511667,0,0.0497874,0.00176703,0.165481,
0,0,0.840567,0.436082,0,0,1,0,0.495041,0.197398,0,0.901805,0.122898,0.125414,0.831444,0.898117,0.0347333,0,0,0.00603547,0.00443186,0.486739,0,0.344007,0.00225647,0.0386337,0.00219332,0,0.00584619,0.0429819,0,0.0249062,0,0.00377783,0,0,0,0.00605114,0.448325,0.0979383,0.0492129,0.123869,0,0,0.202085,0.0907143,0,0.0425205,0.000721158,0.153775,
0,0,0.829141,0.43706,0,0,1,0,0.489489,0.164789,0,0.901463,0.122761,0.125274,0.852284,0.89091,0.0333436,0,0,0.0125526,0.0119225,0.486932,0,0.349297,0.00105252,0.0244547,0.000989731,0,0.00219543,0.0418485,0,0.0190228,0,0.00156854,0,4.20182e-05,0,0.00246466,0.448041,0.109701,0.0559366,0.100151,0,0,0.207968,0.0744419,0,0.0517374,0.0016802,0.148441,
0,0,0.813326,0.424706,0,0,1,0,0.486714,0.130201,0,0.900972,0.122365,0.124869,0.883798,0.911509,0.0438153,0,0,0.00550047,0.00471181,0.484537,0,0.351749,0.0046756,0.0143784,0.0023991,0,0.0003511,0.0326318,0,0.0202671,0,0.00305345,0,0.000924785,0,0.00403961,0.439967,0.111045,0.0669429,0.0976169,0,0,0.201747,0.0507857,0,0.0582602,0.000672357,0.144245,
0,0,0.793037,0.397951,0,0,1,0,0.478044,0.102325,0,0.900781,0.12105,0.123526,0.905665,0.934187,0.0527054,0,0,0.00712208,0.00508958,0.489127,0,0.352462,0.0125033,0.0262169,0.00597413,0,0.000632654,0.026417,0,0.0251685,0,0.00799374,0,0.00469326,0,0.0105515,0.45309,0.118714,0.0698531,0.108101,0,0,0.18965,0.0639103,0,0.0563565,0.000874494,0.135276,
0,0,0.767803,0.362885,0,0,1,0,0.463329,0.0836648,0,0.901132,0.11761,0.120016,0.926152,0.943289,0.0542037,0,0,0.0162162,0.0154709,0.490611,0,0.359561,0.00463337,0.0093333,0.00225903,0,0.00023674,0.0271168,0,0.0292993,0,0.00297937,0,0.0110949,0,0.00392105,0.452001,0.116921,0.0854488,0.0961544,0,0,0.196408,0.0366721,0,0.0683998,0.0023421,0.132228,
0,0,0.739206,0.335027,0,0,1,0,0.447242,0.0800449,0,0.900608,0.115651,0.118016,0.931069,0.979889,0.0547734,0,0,0.01237,0.012289,0.48899,0,0.364841,0.000472786,0.00121578,0.00116104,0,0.000170301,0.021174,0,0.0250973,0,0.000187361,0,0.0158224,0,0.000376752,0.434457,0.101986,0.103757,0.0834608,0,0,0.196065,0.00847522,0,0.0674037,0.00294025,0.132855,
0,0,0.718884,0.32267,0,0,1,0,0.440077,0.0866742,0,0.899302,0.117349,0.119746,0.914565,0.987251,0.0551864,0,0,0.00391433,0.00311426,0.493723,0,0.368746,0.00440163,0.0149669,0.00576821,0,0.00317666,0.0167713,0,0.0192225,0,0.000617206,0,0.013021,0,0.0036023,0.430724,0.0941304,0.113417,0.077172,0,0,0.180739,0.0185862,0,0.0517693,0.0115113,0.135575,
0,0,0.716483,0.317435,0,0,1,0,0.442354,0.0913388,0,0.896711,0.119368,0.1218,0.902203,0.952595,0.0524693,0,0,0.00231611,0.000179126,0.504823,0,0.373191,0.0118665,0.0591761,0.0124777,0,0.0111762,0.0194605,0,0.0124818,0,0.00196513,0,0.00695403,0,0.0153689,0.455304,0.109417,0.105408,0.0903314,0,0,0.153582,0.0789282,0,0.0294504,0.0248977,0.133502,
0,0,0.733261,0.313085,0,0,0.999955,0,0.453297,0.0938122,0,0.891685,0.120442,0.122883,0.877721,0.911511,0.0337381,0,0,0.000849393,5.00221e-05,0.511718,0,0.370311,0.00440163,0.0780205,0.0108392,0,0.011287,0.0317203,0,0.00509779,0,0.0015786,0,0.0072979,0,0.02548,0.469579,0.120904,0.0786118,0.113796,0,0,0.131349,0.110664,0,0.0177966,0.0233106,0.136324,
0,0,0.761233,0.308245,0,0,0.999094,0,0.46884,0.0988173,0,0.887598,0.122618,0.125093,0.851211,0.900699,0.0233384,0,0,0.000221655,0.000179767,0.516723,0,0.361442,0.000230329,0.0797459,0.00297056,0,0.00323867,0.0475995,0,0.000949835,0,0.000398253,0,0.00807958,0,0.0236237,0.472067,0.121719,0.0546118,0.128524,0,0,0.121195,0.114188,0,0.0129311,0.0107413,0.145865,
