EyeBlink_L,EyeBlink_R,EyeSquint_L,EyeSquint_R,EyeDown_L,EyeDown_R,EyeIn_L,EyeIn_R,EyeOpen_L,EyeOpen_R,EyeOut_L,EyeOut_R,EyeUp_L,EyeUp_R,BrowsD_L,BrowsD_R,BrowsU_C,BrowsU_L,BrowsU_R,JawOpen,LipsTogether,JawLeft,JawRight,JawFwd,LipsUpperUp_L,LipsUpperUp_R,LipsLowerDown_L,LipsLowerDown_R,LipsUpperClose,LipsLowerClose,MouthSmile_L,MouthSmile_R,MouthDimple_L,MouthDimple_R,LipsStretch_L,LipsStretch_R,MouthFrown_L,MouthFrown_R,MouthPress_L,MouthPress_R,LipsPucker,LipsFunnel,MouthLeft,MouthRight,ChinLowerRaise,ChinUpperRaise,Sneer_L,Sneer_R,Puff,CheekSquint_L,
0.150524,0,0.627755,1.00541,0,0,0,0.259537,0,0.909893,0.127666,0,0.909021,0.905291,0,0,0.0211072,0.235897,0.408845,0.282747,0.281031,0,0.276984,0.318524,0,0,0.0131367,0.00136529,0,0,0,0,0,0,0.000380937,0.132609,0.556527,0,0,0,0,0.203354,0,0,0,0,0.142124,0,0.127636,0.00481362,
0.138648,0,0.656921,1.00552,0,0,0,0.261528,0,0.907829,0.129684,0,0.913358,0.909571,0,0,0.0242715,0.243771,0.426299,0.27857,0.275099,0,0.265641,0.311948,0,0,0.0193864,0.00495879,0,0,0,0,0,0,0.000223656,0.142312,0.563433,0,0,0,0,0.216681,0,0,0,0,0.130645,0,0.124828,0.00874137,
0.128709,0,0.685786,1.00555,0,0,0,0.264106,0,0.911308,0.132281,0,0.916016,0.912168,0,0,0.0235189,0.247049,0.46621,0.273386,0.271683,0,0.256994,0.308457,0,0,0.0213452,0.00812731,0,0,0,0,0,0,0.00173577,0.154688,0.565764,0,0,0,0,0.223192,0,0,0,0,0.122283,0,0.12454,0.0141229,
0.115742,0,0.716103,1.00568,0,0,0,0.262757,0,0.925645,0.130924,0,0.91828,0.914449,0,0,0.0295955,0.24842,0.448587,0.268252,0.26692,0,0.254707,0.307215,0,0,0.0260576,0.0108587,0,0,0,0,0,0,0.00723344,0.162283,0.568683,4.6528e-05,0,0,0,0.226049,0,0,0,0,0.117769,0,0.123313,0.0146027,
0.101949,0,0.7477,1.00604,0,0,0,0.259511,0,0.946259,0.127657,0,0.920252,0.916476,0,0,0.0417607,0.252471,0.440265,0.257936,0.257465,0,0.261421,0.306041,0,0,0.02275,0.00612186,0,0,0,0,0,0,0.0118307,0.159376,0.569625,0.000920229,0,0,0,0.224551,0,0,0,0,0.123883,0,0.128148,0.0111594,
0.0941104,0,0.775702,1.00619,0,0,0,0.256413,0,0.962758,0.124538,0,0.921809,0.918088,0,0,0.0493478,0.25734,0.438473,0.245652,0.245627,0,0.273067,0.306698,0,0,0.0172114,0.00126308,0,0,0,4.08877e-05,0,0,0.00982544,0.157251,0.569616,0.00298957,0,5.46083e-05,0,0.221974,0,0,0,0,0.132205,0,0.141549,0.00491675,
0.0931096,0,0.796199,1.00603,0,0,0,0.254251,0,0.967084,0.122362,0,0.922834,0.919151,0,0,0.0545837,0.260743,0.43879,0.237299,0.237299,0,0.284805,0.308598,0,0,0.0137266,5.76716e-05,0,0,0,0.000857265,0,0,0.00279079,0.162414,0.567319,0.00253426,0,0.00122421,0,0.222603,0,0,0,0,0.140642,0,0.161092,0.00094424,
0.0999343,0,0.806485,1.00545,0,0,0.000406172,0.252247,0,0.960446,0.120462,0,0.922693,0.919056,0,0,0.0565568,0.261318,0.438018,0.236827,0.236823,0,0.297032,0.311055,0,0,0.00715142,0.00010849,0,0,0.000195875,0.00401773,0,0,0.000289215,0.168423,0.560948,0.000662427,0,0.00651906,0,0.225212,0,0,0,0,0.147291,0,0.177033,0.000539019,
0.11162,0,0.794052,1.00551,0,0,0.00898956,0.227915,0,0.946527,0.0989479,0.000710326,0.9129,0.909885,0,0,0.0607597,0.260363,0.436965,0.239912,0.239848,0,0.308497,0.309871,0,0,0.00387086,0.00207098,0,0,0.00459771,0.0147473,0,0,0.00251681,0.171153,0.546726,3.22734e-05,0,0.0155488,0,0.221843,0,0,1.9615e-05,0,0.150634,0,0.180515,0.00504595,
0.124884,0,0.731265,1.00542,0,0,0.0543359,0.101529,0,0.916037,0.0220964,0.0150158,0.874138,0.87352,0,0,0.063269,0.254577,0.438152,0.253012,0.252835,0,0.312978,0.30405,0,0,0.00642928,0.00554497,0,0.000903843,0.0288985,0.0523156,0,0,0.00996316,0.172577,0.508374,0,1.68211e-05,0.0246419,0.000628543,0.199321,0,0,0.00132502,0,0.1495,2.24641e-05,0.168622,0.0174895,
