X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26,,X17,X18,X19,X20,X21,X22,X23,X24,X25,X26,Y17,Y18,Y19,Y20,Y21,Y22,Y23,Y24,Y25,Y26
66,74,86,98,110,130,141,152,163,170,86,78,75,78,82,82,78,76,79,87,,67,75.1212121212,87.303030303,99.4848484848,111.6666666667,131.9696969697,143.1363636364,154.303030303,165.4696969697,172.5757575758,84,76.1860465116,73.2558139535,76.1860465116,80.0930232558,80.0930232558,76.1860465116,74.2325581395,77.1627906977,84.976744186
66,75,86,98,109,130,141,152,162,169,85,77,75,78,82,82,78,76,78,86,,67,76.1363636364,87.303030303,99.4848484848,110.6515151515,131.9696969697,143.1363636364,154.303030303,164.4545454545,171.5606060606,84,76.0941176471,74.1176470588,77.0823529412,81.0352941176,81.0352941176,77.0823529412,75.1058823529,77.0823529412,84.9882352941
66,74,86,98,110,130,141,152,162,169,86,77,76,78,83,82,78,76,79,87,,67,75.1212121212,87.303030303,99.4848484848,111.6666666667,131.9696969697,143.1363636364,154.303030303,164.4545454545,171.5606060606,84,75.2093023256,74.2325581395,76.1860465116,81.0697674419,80.0930232558,76.1860465116,74.2325581395,77.1627906977,84.976744186
66,75,86,98,109,129,140,151,162,169,85,77,76,78,82,82,78,76,78,86,,67,76.1363636364,87.303030303,99.4848484848,110.6515151515,130.9545454545,142.1212121212,153.2878787879,164.4545454545,171.5606060606,84,76.0941176471,75.1058823529,77.0823529412,81.0352941176,81.0352941176,77.0823529412,75.1058823529,77.0823529412,84.9882352941
66,74,86,98,110,129,140,151,162,169,86,78,76,78,82,82,78,76,79,86,,67,75.1212121212,87.303030303,99.4848484848,111.6666666667,130.9545454545,142.1212121212,153.2878787879,164.4545454545,171.5606060606,84,76.1860465116,74.2325581395,76.1860465116,80.0930232558,80.0930232558,76.1860465116,74.2325581395,77.1627906977,84
66,74,86,98,109,129,140,151,162,169,85,77,76,78,82,82,78,76,78,86,,67,75.1212121212,87.303030303,99.4848484848,110.6515151515,130.9545454545,142.1212121212,153.2878787879,164.4545454545,171.5606060606,84,76.0941176471,75.1058823529,77.0823529412,81.0352941176,81.0352941176,77.0823529412,75.1058823529,77.0823529412,84.9882352941
66,74,86,97,109,129,140,151,162,169,85,77,75,78,82,82,78,76,78,86,,67,75.1212121212,87.303030303,98.4696969697,110.6515151515,130.9545454545,142.1212121212,153.2878787879,164.4545454545,171.5606060606,84,76.0941176471,74.1176470588,77.0823529412,81.0352941176,81.0352941176,77.0823529412,75.1058823529,77.0823529412,84.9882352941
67,74,86,98,109,129,140,151,161,168,84,76,74,76,81,80,76,75,77,85,,67,74,86,98,109,129,140,151,161,168,84,76,74,76,81,80,76,75,77,85
66,73,84,96,107,129,140,151,162,168,84,75,71,72,76,76,72,72,75,85,,67,74.1060606061,85.2727272727,97.4545454545,108.6212121212,130.9545454545,142.1212121212,153.2878787879,164.4545454545,170.5454545455,84,75,71,72,76,76,72,72,75,85
66,73,84,96,107,131,142,152,162,168,83,74,70,70,74,75,71,70,74,83,,67,74.1060606061,85.2727272727,97.4545454545,108.6212121212,132.9848484848,144.1515151515,154.303030303,164.4545454545,170.5454545455,84,74.8915662651,70.843373494,70.843373494,74.8915662651,75.9036144578,71.8554216867,70.843373494,74.8915662651,84
68,75,86,97,107,131,140,150,160,167,83,75,73,74,80,80,75,74,77,84,,67,73.8970588235,84.7352941176,95.5735294118,105.4264705882,129.0735294118,137.9411764706,147.7941176471,157.6470588235,164.5441176471,84,75.9036144578,73.8795180723,74.8915662651,80.9638554217,80.9638554217,75.9036144578,74.8915662651,77.9277108434,85.0120481928
69,76,86,97,107,130,139,150,160,166,85,77,74,75,80,80,76,75,78,86,,67,73.7971014493,83.5072463768,94.1884057971,103.8985507246,126.231884058,134.9710144928,145.652173913,155.3623188406,161.1884057971,84,76.0941176471,73.1294117647,74.1176470588,79.0588235294,79.0588235294,75.1058823529,74.1176470588,77.0823529412,84.9882352941
69,76,87,98,108,128,138,149,159,165,86,78,75,75,81,81,77,76,81,89,,67,73.7971014493,84.4782608696,95.1594202899,104.8695652174,124.2898550725,134,144.6811594203,154.3913043478,160.2173913043,84,76.1860465116,73.2558139535,73.2558139535,79.1162790698,79.1162790698,75.2093023256,74.2325581395,79.1162790698,86.9302325581
69,77,88,99,108,129,139,150,160,166,85,77,74,75,81,81,76,76,80,88,,67,74.768115942,85.4492753623,96.1304347826,104.8695652174,125.2608695652,134.9710144928,145.652173913,155.3623188406,161.1884057971,84,76.0941176471,73.1294117647,74.1176470588,80.0470588235,80.0470588235,75.1058823529,75.1058823529,79.0588235294,86.9647058824
70,77,87,98,107,130,139,150,160,166,84,77,74,75,80,80,76,75,78,86,,67,73.7,83.2714285714,93.8,102.4142857143,124.4285714286,133.0428571429,143.5714285714,153.1428571429,158.8857142857,84,77,74,75,80,80,76,75,78,86
69,77,88,99,109,129,139,150,160,166,85,77,75,76,81,81,76,75,78,86,,67,74.768115942,85.4492753623,96.1304347826,105.8405797101,125.2608695652,134.9710144928,145.652173913,155.3623188406,161.1884057971,84,76.0941176471,74.1176470588,75.1058823529,80.0470588235,80.0470588235,75.1058823529,74.1176470588,77.0823529412,84.9882352941
70,78,88,99,108,130,139,150,160,166,83,77,74,76,81,80,76,75,77,85,,67,74.6571428571,84.2285714286,94.7571428571,103.3714285714,124.4285714286,133.0428571429,143.5714285714,153.1428571429,158.8857142857,84,77.9277108434,74.8915662651,76.9156626506,81.9759036145,80.9638554217,76.9156626506,75.9036144578,77.9277108434,86.0240963855
70,77,88,99,108,130,139,150,160,166,84,76,74,75,80,81,76,75,78,86,,67,73.7,84.2285714286,94.7571428571,103.3714285714,124.4285714286,133.0428571429,143.5714285714,153.1428571429,158.8857142857,84,76,74,75,80,81,76,75,78,86
70,77,88,99,108,129,139,150,160,166,85,78,75,76,81,81,76,75,79,87,,67,73.7,84.2285714286,94.7571428571,103.3714285714,123.4714285714,133.0428571429,143.5714285714,153.1428571429,158.8857142857,84,77.0823529412,74.1176470588,75.1058823529,80.0470588235,80.0470588235,75.1058823529,74.1176470588,78.0705882353,85.9764705882
70,78,88,99,108,130,140,150,160,166,84,77,74,75,80,80,75,75,78,86,,67,74.6571428571,84.2285714286,94.7571428571,103.3714285714,124.4285714286,134,143.5714285714,153.1428571429,158.8857142857,84,77,74,75,80,80,75,75,78,86
70,77,88,99,109,128,138,150,160,166,87,79,75,76,81,82,77,77,80,89,,67,73.7,84.2285714286,94.7571428571,104.3285714286,122.5142857143,132.0857142857,143.5714285714,153.1428571429,158.8857142857,84,76.275862069,72.4137931034,73.3793103448,78.2068965517,79.1724137931,74.3448275862,74.3448275862,77.2413793103,85.9310344828
69,77,87,98,108,130,140,151,160,167,84,77,74,75,80,80,76,75,78,86,,67,74.768115942,84.4782608696,95.1594202899,104.8695652174,126.231884058,135.9420289855,146.6231884058,155.3623188406,162.1594202899,84,77,74,75,80,80,76,75,78,86
70,77,88,99,109,129,139,150,159,166,84,76,74,75,81,81,76,75,78,85,,67,73.7,84.2285714286,94.7571428571,104.3285714286,123.4714285714,133.0428571429,143.5714285714,152.1857142857,158.8857142857,84,76,74,75,81,81,76,75,78,85
69,77,87,98,108,130,139,150,160,166,84,76,74,75,80,80,75,75,78,85,,67,74.768115942,84.4782608696,95.1594202899,104.8695652174,126.231884058,134.9710144928,145.652173913,155.3623188406,161.1884057971,84,76,74,75,80,80,75,75,78,85
69,76,87,98,108,129,139,149,159,166,84,76,74,75,80,80,76,74,77,85,,67,73.7971014493,84.4782608696,95.1594202899,104.8695652174,125.2608695652,134.9710144928,144.6811594203,154.3913043478,161.1884057971,84,76,74,75,80,80,76,74,77,85
69,76,87,99,109,128,138,149,159,166,86,78,75,75,81,81,76,76,79,87,,67,73.7971014493,84.4782608696,96.1304347826,105.8405797101,124.2898550725,134,144.6811594203,154.3913043478,161.1884057971,84,76.1860465116,73.2558139535,73.2558139535,79.1162790698,79.1162790698,74.2325581395,74.2325581395,77.1627906977,84.976744186
69,77,87,99,108,129,139,150,160,166,84,76,74,75,80,80,75,74,77,85,,67,74.768115942,84.4782608696,96.1304347826,104.8695652174,125.2608695652,134.9710144928,145.652173913,155.3623188406,161.1884057971,84,76,74,75,80,80,75,74,77,85
67,74,85,96,106,131,141,152,161,167,82,73,70,72,77,77,73,72,75,84,,67,74,85,96,106,131,141,152,161,167,84,74.7804878049,71.7073170732,73.756097561,78.8780487805,78.8780487805,74.7804878049,73.756097561,76.8292682927,86.0487804878
66,73,84,95,106,131,141,152,162,167,83,74,70,71,76,75,72,71,75,84,,67,74.1060606061,85.2727272727,96.4393939394,107.6060606061,132.9848484848,143.1363636364,154.303030303,164.4545454545,169.5303030303,84,74.8915662651,70.843373494,71.8554216867,76.9156626506,75.9036144578,72.8674698795,71.8554216867,75.9036144578,85.0120481928
