 X51, Y51, X52, Y52, X53, Y53, X54, Y54, X62, Y62, X63, Y63, X64, Y64
122,172,128,170,135,171,143,174,122,176,128,175,140,174
122,172,128,170,136,171,143,174,122,176,128,175,140,174
122,171,129,170,136,171,144,174,122,176,129,175,141,174
122,170,129,168,137,169,143,172,122,174,129,173,141,172
122,168,129,167,137,168,144,171,122,172,130,171,141,171
122,168,129,166,137,167,144,171,122,171,129,170,141,171
121,168,129,166,137,168,144,171,122,172,129,171,141,171
121,168,128,167,137,168,144,171,121,171,129,170,141,171
121,168,128,166,137,168,144,171,122,171,129,170,141,171
122,169,128,167,136,168,143,171,122,172,129,171,140,172
122,170,128,168,136,169,143,172,122,173,128,173,140,172
122,171,128,169,136,170,143,172,122,175,128,174,140,173
121,171,127,170,135,171,142,173,121,175,127,174,139,174
121,171,127,170,134,171,142,174,121,176,127,175,139,174
121,171,127,170,134,171,142,174,121,176,127,175,140,174
121,171,127,170,134,171,142,174,121,176,127,175,139,174
121,172,127,170,135,171,142,174,121,176,127,175,140,174
122,172,128,170,135,172,143,174,122,176,128,175,140,174
122,172,127,170,135,171,142,174,122,176,128,175,139,174
122,172,128,170,135,171,142,174,122,176,128,175,139,175
122,172,128,170,135,171,142,174,122,176,128,175,139,175
121,172,127,170,134,172,142,174,121,176,127,175,139,175
121,172,127,170,135,172,142,174,121,176,127,175,139,175
122,172,127,170,135,172,142,174,122,176,128,175,139,175
121,172,127,170,135,172,142,174,121,176,127,175,139,175
121,172,127,171,134,172,141,174,121,176,127,175,139,175
121,172,127,171,134,172,142,174,121,176,127,175,139,175
121,172,127,171,134,172,142,174,121,176,127,175,139,175
121,172,127,170,134,172,142,174,121,176,127,175,139,174
121,172,127,170,134,171,142,173,121,175,128,174,139,174
121,171,127,170,135,170,142,173,121,175,127,174,139,173
121,172,127,170,135,171,142,173,121,175,128,174,139,173
121,171,127,170,135,171,142,173,121,175,127,175,139,174
120,171,127,169,135,170,142,172,121,174,127,173,139,172
121,169,128,167,136,168,143,170,121,172,128,171,140,171
120,168,128,166,137,167,144,169,120,171,128,170,141,170
120,168,127,166,137,166,144,168,120,170,128,169,141,169
120,167,128,166,137,165,145,167,120,170,128,169,141,168
120,167,127,166,136,165,144,168,120,170,127,169,141,169
120,167,127,166,136,165,144,168,120,170,127,169,141,169
121,167,128,165,137,165,144,167,121,170,128,169,141,168
120,167,127,166,136,166,144,168,120,170,128,169,141,169
121,167,128,166,137,166,145,168,121,170,128,169,142,169
120,167,127,166,136,165,144,168,120,170,128,169,141,169
120,167,128,165,137,165,145,168,120,170,128,169,141,169
121,167,128,166,137,166,145,167,121,170,128,169,141,169
120,167,128,165,137,165,145,168,120,170,128,169,141,169
120,167,128,165,137,165,145,168,120,170,128,169,142,169
120,167,128,165,137,165,145,168,120,170,128,169,142,169
121,167,129,165,137,165,145,168,121,170,129,169,142,169
121,167,128,166,137,165,145,168,121,170,129,169,142,169
121,167,128,166,137,166,145,168,121,170,128,169,141,169
