 X51, X52, X53, X54, X55, X56, X57, X62, X63, X64, X65, X66, Y51, Y52, Y53, Y54, Y55, Y56, Y57, Y62, Y63, Y64, Y65, Y66
126,133,141,150,142,134,126,126,133,146,133,126,167,165,167,171,180,183,184,173,172,172,172,173
126,133,141,150,142,134,126,126,133,147,133,126,168,165,167,171,179,183,183,173,172,171,172,173
126,133,141,150,142,134,126,126,133,146,133,126,167,165,167,170,179,183,183,173,172,171,172,173
126,133,141,150,142,134,126,126,133,146,133,126,168,165,167,171,179,183,183,173,172,171,172,173
126,133,141,150,142,134,127,126,134,147,134,126,167,165,167,171,179,183,184,173,172,172,171,172
126,133,142,150,142,135,127,127,134,147,134,127,167,165,167,171,179,183,184,172,171,171,171,173
126,133,142,150,142,135,127,127,134,146,134,127,167,165,167,171,179,183,184,172,172,171,171,173
126,134,142,150,142,135,126,126,134,146,134,126,167,165,167,171,179,182,183,173,172,171,171,172
126,133,141,150,142,134,126,126,134,146,133,126,167,164,167,171,179,183,184,172,172,171,172,173
126,133,141,150,142,134,126,126,134,146,133,126,167,165,167,171,179,183,184,173,172,171,171,172
125,133,141,150,142,134,126,126,133,147,133,126,167,164,166,171,179,182,183,172,171,171,171,172
126,133,141,150,142,134,126,126,133,146,133,126,167,165,167,171,179,183,183,172,171,171,171,173
125,132,141,149,142,134,126,126,133,146,133,126,166,164,166,170,179,182,183,172,171,171,171,172
126,133,141,150,142,134,126,126,133,147,133,126,166,164,166,170,178,182,183,172,171,171,170,172
126,133,141,150,142,134,126,126,133,147,133,126,166,164,166,170,179,182,183,172,171,171,171,172
125,133,142,151,143,134,126,126,133,147,134,126,166,164,167,170,179,183,183,172,172,171,171,172
125,133,141,150,142,134,126,125,133,146,133,125,167,165,167,170,178,182,183,172,171,171,171,172
126,133,142,150,143,134,126,126,133,146,134,126,167,164,167,170,179,183,184,172,171,171,171,172
126,134,142,150,143,135,127,126,134,147,134,127,167,165,166,170,179,183,183,172,171,171,172,173
126,133,142,150,143,135,126,126,134,147,134,126,167,165,167,170,179,183,183,172,171,171,171,172
126,133,142,150,142,135,126,126,134,147,134,126,167,164,167,171,179,183,184,172,171,171,172,173
126,133,141,150,142,135,127,126,134,147,134,127,167,165,166,170,179,183,184,173,172,171,171,172
126,133,141,150,142,134,127,126,134,146,134,127,167,165,167,170,179,183,184,173,172,171,172,173
126,134,142,151,143,135,127,127,134,147,134,127,167,165,167,171,179,183,184,173,172,171,172,173
127,134,142,151,143,135,127,127,134,147,134,127,167,165,167,171,179,184,184,173,172,171,172,173
127,134,142,150,143,135,127,127,134,147,134,127,168,166,167,171,179,184,184,173,172,171,172,173
127,134,143,151,143,135,127,127,134,147,135,127,167,165,167,171,179,183,184,173,172,171,172,173
126,134,142,150,143,135,127,126,134,147,134,127,167,165,167,171,179,183,184,173,172,171,172,173
127,134,142,150,143,135,127,127,135,147,135,127,167,165,167,170,179,183,184,173,172,171,172,173
127,134,142,151,143,135,127,127,134,147,135,127,167,165,167,171,179,183,184,173,172,171,172,173
127,134,142,151,143,135,127,127,135,147,135,127,167,165,167,171,180,184,184,173,172,171,172,173
127,134,142,150,143,135,127,127,134,147,134,127,168,166,167,171,179,183,183,173,172,171,172,173
126,134,142,151,143,135,127,127,134,147,134,127,168,165,167,171,179,184,184,173,172,171,172,173
127,134,142,150,143,135,127,127,134,147,135,127,168,166,167,171,179,183,183,173,172,171,172,173
127,134,142,151,143,135,127,127,134,147,134,127,168,165,167,171,180,184,184,173,172,172,172,173
127,134,142,151,143,135,127,127,135,147,135,127,168,165,167,171,179,184,184,173,172,172,172,173
126,134,142,150,143,135,127,126,134,147,134,127,168,165,167,171,179,183,184,173,172,171,172,173
