 X3, X4, X5, X6, X7, X8, X9, X49, X50, X51, X52, X53, X58, X59, X60, X61
68,75,84,96,112,132,151,116,126,133,140,149,125,116,112,125
68,75,84,96,112,131,150,116,126,133,140,149,125,116,112,125
68,75,85,97,112,131,151,116,126,133,141,149,124,115,112,125
68,74,84,96,112,131,151,117,126,133,141,149,125,116,112,125
68,75,84,96,112,131,150,116,125,133,141,149,125,115,112,125
69,75,85,96,112,131,151,116,126,133,141,149,125,116,112,125
68,75,85,96,112,131,151,116,126,133,141,149,125,116,113,125
68,75,85,97,112,131,150,116,126,133,141,149,125,116,112,125
68,74,84,97,113,132,151,116,126,133,141,149,125,116,112,125
68,75,85,97,113,132,151,116,126,133,141,149,125,116,112,125
68,75,84,96,112,131,151,116,126,134,141,149,125,116,112,125
68,75,85,97,113,132,152,116,126,134,141,149,125,115,112,125
67,73,83,95,111,131,151,117,126,134,141,149,125,116,112,126
68,75,85,97,113,133,153,116,126,133,141,149,125,116,112,125
68,75,84,96,112,132,151,117,126,133,140,149,125,116,113,125
68,74,84,97,113,132,152,117,126,133,140,149,125,116,112,125
68,75,84,97,113,132,151,117,126,133,140,149,125,116,112,125
68,75,85,97,113,133,152,117,126,133,141,149,125,116,112,125
67,74,84,96,112,132,152,116,126,133,141,149,125,115,112,125
68,75,85,97,113,133,152,117,127,134,141,149,126,117,113,126
67,75,85,97,113,133,152,117,127,134,140,149,126,116,113,126
68,75,85,97,113,132,151,117,126,134,140,149,125,116,113,126
68,75,84,97,113,132,151,117,126,134,141,149,125,116,113,126
68,75,84,97,113,132,151,117,126,134,141,150,125,116,112,126
68,75,85,97,113,132,151,117,126,133,141,149,125,116,113,125
68,75,85,97,113,133,152,117,127,134,141,150,126,116,113,126
68,75,85,97,113,133,152,117,126,133,141,150,125,116,112,125
68,75,85,97,114,134,153,117,127,134,141,150,126,117,113,126
69,76,86,98,114,134,153,118,127,135,142,151,126,117,113,127
68,75,84,96,113,132,151,118,127,134,141,150,126,117,113,127
74,80,89,99,113,129,145,113,121,127,133,140,121,113,110,121
74,80,88,99,113,129,145,113,121,127,132,140,121,113,110,121
74,80,89,99,113,129,145,113,121,127,132,140,122,114,110,121
74,80,89,100,113,129,145,113,121,127,132,140,122,114,110,121
74,80,89,99,113,129,145,113,121,127,132,140,122,113,110,121
74,81,89,100,114,130,145,113,121,127,132,140,122,114,111,121
74,80,89,100,114,130,145,113,121,127,133,140,122,114,110,121
75,81,90,101,115,131,146,113,121,127,133,141,122,114,111,122
75,82,91,102,115,132,147,114,121,127,133,141,123,114,111,122
75,82,91,103,116,132,147,114,122,128,134,142,124,116,111,123
75,83,92,104,117,133,148,115,122,128,134,142,124,116,112,123
75,83,92,103,117,133,148,115,122,128,134,142,124,116,111,123
76,83,92,103,117,133,149,115,123,129,135,143,125,116,112,123
76,84,93,104,118,134,149,116,123,129,135,143,125,117,112,124
76,83,93,104,117,133,148,116,124,129,135,143,125,117,112,124
76,83,92,104,118,134,149,115,123,129,135,143,125,117,112,123
76,83,92,103,117,133,148,115,123,129,135,143,125,116,112,123
76,83,92,103,117,133,148,115,123,129,135,143,124,116,112,123
76,83,92,103,117,133,148,115,122,128,134,142,124,116,112,123
76,83,93,104,118,134,149,116,123,129,135,143,125,117,112,124
76,83,93,103,117,134,150,116,123,129,135,143,125,117,112,124
76,84,93,103,117,133,148,115,123,129,135,142,125,116,112,123
76,83,93,104,117,133,148,115,123,129,135,143,125,117,112,123
76,83,92,103,117,133,149,115,123,129,135,143,125,117,112,123
76,83,93,104,118,134,149,115,123,129,135,143,125,117,112,123
76,83,92,103,117,133,148,115,123,129,134,142,124,116,112,123
76,83,92,103,117,133,149,115,123,129,135,143,125,117,112,123
76,83,92,103,116,133,149,115,123,129,135,143,125,117,112,124
76,83,92,103,117,133,148,115,123,129,135,143,124,116,113,123
76,83,93,103,117,133,149,115,123,129,135,143,124,116,112,123
76,84,93,104,118,134,149,115,123,129,135,143,124,116,112,123
76,84,93,104,118,134,149,115,123,129,135,143,124,116,112,123
76,84,93,104,118,135,150,115,123,129,135,143,125,117,112,123
76,83,92,103,117,134,150,116,124,129,135,143,125,117,113,124
76,83,92,103,117,134,150,115,123,129,135,143,125,117,112,124
76,83,92,103,117,134,149,115,123,129,135,143,125,116,112,123
76,84,93,104,117,134,149,116,123,129,135,143,125,117,112,124
76,83,93,104,118,134,149,116,124,130,136,144,125,117,113,124
76,83,92,103,118,134,150,116,124,130,135,143,125,117,113,124
76,84,93,104,118,135,150,116,124,130,135,143,126,117,113,124
76,83,93,103,117,134,149,116,124,130,135,143,125,117,113,124
76,83,93,104,117,134,149,116,123,130,136,143,125,117,112,124
76,83,93,104,117,134,149,116,123,129,135,143,125,117,113,123
76,83,93,104,118,134,149,116,123,129,135,143,125,117,112,123
76,83,93,104,118,134,149,116,123,129,135,143,125,117,113,123
76,83,93,104,118,134,149,116,123,129,135,143,125,117,112,123
76,84,93,104,118,134,149,116,123,130,136,143,125,117,113,124
76,84,93,104,118,135,150,116,123,130,135,143,125,117,113,124
76,83,93,104,118,134,150,116,123,129,136,143,125,117,113,123
75,83,92,103,117,134,149,116,123,130,135,143,125,117,112,124
75,83,92,104,118,134,150,116,124,130,136,143,125,117,113,124
76,83,93,104,118,134,149,116,124,130,136,144,125,117,113,124
76,83,93,104,118,134,149,116,124,130,136,143,125,117,113,124
76,83,93,104,118,134,150,116,123,130,135,143,125,117,113,124
76,84,93,104,119,135,151,116,124,130,136,144,126,117,113,124
76,84,94,105,119,135,150,116,124,130,136,144,126,117,113,124
75,83,93,105,119,135,151,116,124,130,136,143,125,117,112,124
75,83,92,104,118,134,150,116,124,130,136,143,125,117,113,124
75,83,93,104,118,134,150,116,124,130,136,144,125,117,113,124
75,83,93,104,118,134,149,116,124,130,135,143,126,117,113,124
75,83,93,105,119,135,150,117,124,130,136,144,126,118,113,124
76,83,93,104,119,135,150,116,124,130,136,144,126,118,113,124
75,83,93,104,119,135,150,116,124,130,136,144,125,117,113,124
76,83,93,104,119,135,150,116,123,130,136,144,125,117,113,124
75,83,93,105,119,135,150,116,124,130,135,143,126,117,113,124
76,84,94,105,119,135,150,116,124,130,136,144,126,118,113,124
76,83,94,105,119,135,150,116,123,130,136,144,125,117,113,124
76,84,93,104,119,134,149,116,124,130,136,144,126,118,113,124
76,84,94,105,119,135,150,116,124,130,136,144,126,118,113,124
77,84,94,105,119,135,150,116,123,130,136,144,125,118,114,124
77,85,94,105,120,136,151,117,124,130,136,144,126,118,113,124
76,84,93,104,118,135,150,117,124,130,136,144,125,118,114,124
77,84,94,105,119,135,150,117,124,130,136,144,126,118,114,124
77,84,94,105,119,135,151,117,124,130,136,144,125,118,114,124
77,84,94,105,119,136,151,117,124,130,136,144,126,118,114,124
77,84,94,105,119,135,150,117,124,130,136,144,126,118,114,124
76,84,93,105,119,134,149,117,124,130,136,144,126,118,114,124
77,84,94,105,119,135,150,117,124,130,136,144,126,118,114,124
76,84,94,105,119,135,151,117,124,130,136,144,126,118,114,125
76,84,94,105,119,135,150,117,124,130,136,144,126,118,114,124
77,85,94,105,119,135,150,117,124,130,136,144,126,118,114,124
77,84,94,105,119,135,150,116,124,130,136,144,126,118,114,124
77,84,94,105,119,135,150,117,124,130,136,144,126,118,114,124
77,84,94,105,119,135,150,116,124,130,136,144,126,118,114,124
77,85,94,105,119,135,150,117,124,131,136,144,126,118,114,125
77,84,94,105,119,135,150,117,124,131,137,144,126,118,114,125
77,84,94,105,119,135,150,117,124,130,136,144,126,118,114,124
77,84,94,105,119,135,150,117,124,131,137,144,126,118,114,124
77,85,94,105,119,135,151,117,125,131,137,144,126,118,114,125
77,85,95,106,120,136,151,117,124,130,136,144,126,118,115,125
77,85,94,105,119,135,151,117,124,130,136,144,126,118,114,124
77,85,94,105,119,135,150,117,124,131,136,144,126,118,115,124
77,85,94,106,120,136,151,117,124,131,136,144,126,118,114,125
77,85,95,106,120,135,151,118,125,131,137,145,127,119,115,125
77,85,94,105,119,135,151,117,124,131,136,144,126,118,114,124
77,85,95,106,120,136,151,117,125,131,137,144,126,118,114,125
77,85,95,106,120,135,150,117,125,131,137,145,126,118,114,125
77,85,94,105,119,135,150,117,124,131,137,144,126,118,115,125
77,85,94,105,119,135,150,117,125,131,137,144,127,119,114,125
77,85,94,105,119,135,150,117,124,131,137,144,127,118,114,125
77,85,94,105,119,135,150,117,125,131,137,144,126,118,114,125
77,85,94,105,119,135,150,117,125,131,137,144,126,118,114,125
77,85,95,106,120,136,151,117,125,131,137,144,126,118,114,125
77,85,94,106,119,135,150,117,125,131,137,145,127,119,114,125
77,85,95,106,120,135,150,118,125,131,137,144,126,119,115,125
77,84,94,105,119,135,151,117,124,131,137,144,126,118,114,124
77,84,94,106,120,136,151,117,124,131,137,144,126,119,114,125
77,85,94,105,119,135,151,117,125,131,137,144,126,118,114,125
77,85,94,105,119,135,150,117,125,131,136,144,126,118,115,125
77,85,94,106,120,136,151,118,125,131,137,144,127,119,115,125
77,84,94,105,119,135,150,117,125,131,136,144,126,118,114,125
77,84,94,105,120,136,151,117,125,131,137,144,126,118,114,125
77,85,94,106,120,136,151,117,125,131,137,144,126,119,115,125
